starid,source_id,d,derr
6386468454774591744,6386468454774591744,91.6067,0.1315
5224124307320401024,5224124307320401024,183.0607,0.6633
4972969119657226368,4972969119657226368,90.0189,0.1733
4675576135153914368,4675576135153914368,44.0342,0.0705
4921421918602162688,4921421918602162688,72.0866,0.0948
2125795166969907968,2125795166969907968,424.5236,1.5884
2053106620753316352,2053106620753316352,786.6573,5.9293
2076525844775760384,2076525844775760384,105.9007,2.6929
6357337753190592000,6357337753190592000,89.4832,0.1385
2329865040473724160,2329865040473724160,104.7713,0.2432
4759263813434301824,4759263813434301824,100.0377,0.1494
2106705269988803072,2106705269988803072,450.6126,2.1749
2135179533070399232,2135179533070399232,336.7794,1.0650
5062172841616745856,5062172841616745856,25.4440,0.0196
2086625752425381632,2086625752425381632,515.6661,2.6090
2051837651199491968,2051837651199491968,668.8360,113.5393
