starid,source_id,original_ext_source_id,angular_distance,xm_flag,allwise_oid,number_of_neighbours,number_of_mates,allwise_oid_2,DESIGNATION,ra,dec,ra_error,dec_error,radec_co_error,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,cc_flags,ext_flag,var_flag,ph_qual,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
2051837651199491968,2051837651199491968,J192905.70+374017.6,0.04638178,8,597571319,1,0,597571319,J192905.70+374017.6,292.2737545,37.6715641,0.0391,0.0366,0.0044,10.673,0.023,10.744,0.021,10.757,0.082,9.243,,0000,0,000n,AAAU,55402.21662247,55402.21662247,55311.14871231,55311.14871231,,,,,,,,,268252630
2053106620753316352,2053106620753316352,J192959.22+391135.3,0.022963615,8,605207681,1,0,605207681,J192959.22+391135.3,292.4967897,39.1931522,0.0375,0.0348,0.006,10.142,0.023,10.208,0.02,10.047,0.049,8.868,,0000,0,010n,AAAU,55407.10480942,55407.10480942,55312.25865864,55312.25865864,,,,,,,,,268285838
2076525844775760384,2076525844775760384,J193708.86+401249.1,0.044788253,8,610270068,1,0,610270068,J193708.86+401249.1,294.2869363,40.2136635,0.032,0.031,0.0064,6.455,0.077,6.461,0.023,6.501,0.014,6.45,0.063,0000,0,1100,AAAA,55315.9456572,55315.9456572,55315.95980044,55315.95980044,,,,,,,,,268664315
2086625752425381632,2086625752425381632,J194806.77+481230.9,0.14092742,8,647984633,1,0,647984633,J194806.77+481230.9,297.0282396,48.2085968,0.0366,0.0387,0.0117,11.028,0.022,11.09,0.02,11.076,0.092,9.198,,0h00,0,nnnn,AAAU,55411.42680569,55411.42680569,55328.52146352,55328.52146352,,,,,,,,,312677716
2106705269988803072,2106705269988803072,J185755.78+442352.5,0.014918975,8,630426750,1,0,630426750,J185755.78+442352.5,284.4824337,44.3979311,0.0374,0.0346,0.0062,10.782,0.022,10.843,0.02,10.854,0.071,9.498,,0000,0,010n,AAAU,55412.29205799,55412.29205799,55303.38657672,55303.29235387,,,,,,,,,281065005
2125795166969907968,2125795166969907968,J192559.33+424342.7,0.048012786,8,622481542,1,0,622481542,J192559.33+424342.7,291.4972263,42.7285481,0.0355,0.0328,0.0065,9.342,0.023,9.367,0.019,9.309,0.028,8.827,,0000,0,000n,AAAU,55392.87768265,55392.87768265,55313.44468271,55313.44468271,,,,,,,,,278540478
4675576135153914368,4675576135153914368,J043333.79-624925.3,0.19965877,8,47136112,1,0,47136112,J043333.79-624925.3,68.3908166,-62.8237105,0.0429,0.0445,-0.01,2.601,,3.053,0.356,3.425,0.013,3.38,0.021,hh00,0,n111,UCAA,55381.6778017,55381.59094481,55381.59094481,55381.6778017,,,,,,,,,225347851
4921421918602162688,4921421918602162688,J003533.36-544919.3,0.047764312,8,77680976,1,0,77680976,J003533.36-544919.3,8.8890223,-54.8220317,0.0485,0.0544,0.0051,3.552,0.435,3.328,0.28,3.565,0.015,3.515,0.024,0000,0,0111,CBAA,55344.42125005,55344.42125005,55344.47885765,55344.47885765,,,,,,,,,1309303794
4972969119657226368,4972969119657226368,J002221.34-505932.4,0.14647166,8,94716547,1,0,94716547,J002221.34-505932.4,5.5889342,-50.992357,0.0488,0.0492,-0.0168,4.044,0.357,3.623,0.179,4.096,0.015,4.048,0.025,0000,0,0000,CBAA,55346.17757013,55346.17757013,55346.17757013,55346.17757013,,,,,,,,,584828795
5062172841616745856,5062172841616745856,J023658.59-343443.4,0.08068018,8,179433172,1,0,179433172,J023658.59-343443.4,39.2441525,-34.5787367,0.0467,0.0495,-0.0111,4.1,0.327,3.868,0.113,4.258,0.014,4.204,0.024,0000,0,0011,BBAA,55323.02564397,55323.02564397,55323.02564397,55323.02564397,,,,,,,,,169432974
5224124307320401024,5224124307320401024,J085516.86-671555.4,0.011638309,8,33054835,1,0,33054835,J085516.86-671555.4,133.8202603,-67.2654024,0.0412,0.0412,-0.0063,5.187,0.197,5.097,0.062,5.201,0.014,5.134,0.026,0000,0,0300,BAAA,55295.07464004,55295.07464004,55296.33984593,55296.33984593,,,,,,,,,721921341
6386468454774591744,6386468454774591744,J233807.75-705411.7,0.08420694,8,23235522,1,0,23235522,J233807.75-705411.7,354.5322966,-70.9032699,0.0488,0.0518,-0.0088,5.068,0.197,4.943,0.094,5.08,0.016,5.019,0.029,0000,0,0011,BAAA,55315.12240253,55315.12240253,55315.12240253,55315.12240253,,,,,,,,,1328744826
