starid,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
6386468454774591744,1636148068921376768,Gaia DR3 6386468454774591744,6386468454774591744,5743126,2016.0,354.5319459846447,0.0126850065,-70.90324263477127,0.013413005,10.908078413209509,0.015344121,710.8963,88.823265,-85.0695731164866,0.016881537,25.548776646201734,0.01913908,-0.19239765,0.039170712,-0.32658467,0.20490989,-0.09758232,0.20681506,-0.004055766,-0.095793895,-0.31544796,-0.23349133,400,400,397,3,0.85193604,990.9394,0.121506095,14.957543,31,True,1.4794824,,,,,,,,46,27,0.02849657,54,19,4,0.013468596,118.131165,0,0,1.0297213,,,,,,,,,False,454,24806726.59954582,3012.0366,8235.865,7.200943,51,11278587.907351926,5935.2563,1900.2698,7.7079053,48,19262220.887813788,10775.362,1787.6171,6.5361295,1.2311503,0,51,0,48,0,1.1717758,0.5069623,0.6648135,25.60711,0.120857485,1,35,0,26,682.5273,1.6773156,0.008475791,968.21515,0.7684822,4750.0,3.0,0.25,222,8.513155,0.68599844,33,6.2960763,0.004660743,35,,NOT_AVAILABLE,311.29974285111933,-45.015040630239476,308.83936683209345,-58.71444449347001,False,False,0,True,True,False,False,False,False,True,False,5.279018e-11,5.131385e-13,0.99992985,,,,,,,,,,,,,,,,,,,,,,
5224124307320401024,1636148068921376768,Gaia DR3 5224124307320401024,5224124307320401024,1319109612,2016.0,133.82036204291697,0.018200222,-67.26535843853468,0.017546184,5.4617511388754565,0.018741267,291.42914,36.00135,25.252522185600537,0.023080556,25.659449894167007,0.019592898,0.07213723,0.02135125,-0.024453864,0.108513735,0.2871936,0.1613502,-0.16756739,0.16974868,0.023093654,0.05624452,310,310,306,4,3.3946025,853.4514,0.16237251,18.222847,31,False,1.4633759,,,,,,,,35,27,0.032263808,39,14,2,0.014745763,9.714517,0,0,1.1403394,,,,,,,,,False,337,18367950.215281308,2489.227,7378.9775,7.527215,38,7994156.334772128,4579.9946,1745.451,8.081611,36,14792633.8000343,5779.0034,2559.7205,6.8227816,1.2405734,0,0,0,0,0,1.2588291,0.5543957,0.70443344,19.732216,0.117822364,1,21,0,18,467.78992,-2.27436,0.9698571,986.3961,0.604929,4500.0,2.0,0.0,444,9.91506,0.6205568,20,6.559209,0.0047281,21,,NOT_AVAILABLE,282.9517983200945,-14.099755731409385,202.5371628674034,-73.15925868771214,False,False,0,True,True,False,False,False,True,True,False,1.0254194e-13,5.121918e-13,0.99994856,4696.16,4686.2812,4709.8184,2.6423,2.6066,2.6506,-0.204,-0.2072,-0.1974,183.7245,181.8108,191.4002,0.1743,0.1639,0.1886,0.1357,0.1275,0.147,0.0715,0.0671,0.0774,MARCS
4972969119657226368,1636148068921376768,Gaia DR3 4972969119657226368,4972969119657226368,651585103,2016.0,5.589168192930548,0.010010075,-50.99227087796786,0.012124316,11.095072941805931,0.018606668,596.2955,84.74893,69.61105913415355,0.011914744,48.33923619705962,0.014376907,-0.4033009,-0.07778023,0.0913967,0.001066725,0.21269096,-0.02504715,0.010622231,-0.05147087,-0.19127767,-0.3701716,623,623,618,5,0.83521795,1986.8643,0.13483268,29.593218,31,True,1.4636568,,,,,,,,70,28,0.021761438,76,24,9,0.030103412,174.58861,0,0,1.0234002,,,,,,,,,False,619,53070321.08433488,5058.8257,10490.641,6.3752375,67,23154184.92938835,11074.802,2090.7087,6.9269686,63,42682775.84566874,25461.283,1676.3796,5.672264,1.2405608,0,0,0,0,0,1.2547045,0.5517311,0.70297337,25.485935,0.118707694,1,30,0,19,954.5796,,0.3080418,897.2922,0.7014637,4750.0,3.0,0.0,440,8.701702,0.40148714,26,5.4082727,0.0048845983,30,,NOT_AVAILABLE,314.00866011864844,-65.50596149428272,338.0190755427187,-47.504001201831244,False,False,0,True,True,False,False,False,False,True,False,1.0254407e-13,5.1220253e-13,0.9999484,4947.611,4946.242,4949.29,3.0376,3.0361,3.0392,0.0737,0.0735,0.074,89.5953,89.4401,89.7392,0.2763,0.2748,0.278,0.2159,0.2147,0.2173,0.1128,0.1122,0.1136,PHOENIX
4675576135153914368,1636148068921376768,Gaia DR3 4675576135153914368,4675576135153914368,488235983,2016.0,68.39031136658936,0.03276166,-62.823760166051166,0.033657227,22.723973526677142,0.03393652,669.60236,119.0652,-117.5829490417018,0.03922407,-18.72889924235296,0.04100402,0.12360813,0.059099425,-0.074936144,-0.22734623,-0.22095469,-0.24901061,-0.12235759,0.22810012,-0.1348094,0.0713193,207,207,200,7,1.8281243,2738.2158,0.29507607,105.69318,31,True,1.483377,,,,,,,,24,23,0.059143998,59,10,37,0.039049443,54.11335,0,0,1.0922236,,,,,,,,,False,473,117419034.7183503,39362.883,2982.9888,5.5130205,56,53297160.25589641,36442.324,1462.5072,6.021782,50,91541810.47183853,126323.25,724.6632,4.843847,1.233522,0,0,0,0,0,1.1779351,0.5087614,0.6691737,31.5641,0.12560876,1,30,0,13,1278.255,,0.012463279,959.3506,1.0686188,4750.0,3.5,0.0,222,,,,4.615887,0.005526281,30,,NOT_AVAILABLE,273.7365877757339,-39.47194241629646,11.990351103771376,-80.09840553270386,False,False,0,True,True,False,False,False,True,True,False,1.02670754e-13,5.1283527e-13,0.9999358,4791.047,4790.008,4792.1675,3.0397,3.0378,3.0413,-0.2458,-0.2478,-0.244,44.0152,43.9398,44.0828,0.0,0.0,1e-04,0.0,0.0,1e-04,0.0,0.0,1e-04,PHOENIX
4921421918602162688,1636148068921376768,Gaia DR3 4921421918602162688,4921421918602162688,672805212,2016.0,8.889088567969436,0.014034152,-54.82209777584097,0.015248065,13.86046705856301,0.01981386,699.53394,55.75598,22.837651422392987,0.018136362,-50.86424417905762,0.019603563,-0.14738405,-0.0741045,0.28946137,-0.021842929,-0.079433516,-0.01589627,0.44727594,-0.15713301,-0.2377222,-0.05573236,385,385,379,6,-3.1110992,1702.6755,0.15188487,36.12208,31,True,1.4787776,,,,,,,,44,25,0.028544107,50,15,24,0.005559659,5.755759,1,0,0.887575,,,,,,,,,False,418,93229882.51129584,24806.404,3758.2988,5.763479,46,41975292.329533,17832.266,2353.8958,6.281058,38,73421396.80660564,72223.734,1016.58264,5.0833387,1.2377651,0,0,0,0,0,1.1977191,0.5175786,0.6801405,-9.649408,0.117410734,1,25,0,20,1132.2319,,0.9352791,945.6554,0.52434635,4750.0,2.5,-0.5,222,9.696202,0.57507056,22,4.8340855,0.0049093617,25,1125.1069,NOT_AVAILABLE,307.8311839786557,-62.154821260303045,336.84300877713673,-51.751310019189944,False,False,0,True,True,True,False,False,True,True,False,1.0263468e-13,5.126551e-13,0.9999394,5140.3516,5137.595,5143.208,3.033,3.0317,3.0343,-0.0514,-0.0518,-0.0507,72.9276,72.8179,73.0296,0.4333,0.4307,0.4359,0.345,0.3429,0.3471,0.1827,0.1816,0.1838,MARCS
2125795166969907968,1636148068921376768,Gaia DR3 2125795166969907968,2125795166969907968,1261367777,2016.0,291.4972154330048,0.008733787,42.72857622596391,0.0095256725,2.3397489902022084,0.010072057,232.30101,24.373363,1.3378386183021878,0.010852255,24.336619674608055,0.012217085,-0.11528389,-0.05404018,0.12954715,0.010456522,0.06972052,-0.01347777,-0.12167966,-0.05696698,0.043281406,-0.02463171,374,374,371,3,-1.4946505,677.7814,0.071538925,7.216183,31,True,1.5624216,,,,,,,,43,27,0.016961263,46,16,1,0.009300234,22.690454,0,0,0.94437426,,,,,,,,,False,366,953958.0788216862,106.193146,8983.236,10.7385435,43,519244.1586094128,214.2568,2423.4663,11.050113,41,624209.5392156859,115.58428,5400.4707,10.259569,1.1986414,0,0,0,0,0,0.79054356,0.3115692,0.47897434,-12.191459,0.4325381,1,16,6,12,62.074574,1.3719045,0.06758465,755.8289,5.54379,6000.0,4.0,0.0,222,5.4704704,3.370352,8,10.072843,0.025205256,8,67.133896,NOT_AVAILABLE,74.94378659485369,12.193291190093,307.00405880750657,63.43229742994504,False,False,0,True,True,True,False,False,True,True,False,1.03842065e-13,5.186859e-13,0.9998199,5887.434,5878.7173,5904.5957,3.8914,3.8861,3.9332,-0.2248,-0.2338,-0.2074,412.9026,384.083,416.8329,0.1079,0.1022,0.1187,0.0913,0.0865,0.1005,0.0492,0.0465,0.0541,MARCS
2053106620753316352,1636148068921376768,Gaia DR3 2053106620753316352,2053106620753316352,1508234370,2016.0,292.4967747296799,0.007601309,39.193143020406886,0.008736059,1.2617240252632198,0.009731959,129.64749,5.974342,-5.412272851486701,0.010229266,-2.529834309991722,0.011201393,-0.09991454,-0.07873399,0.088018335,-0.021885833,0.28610462,-0.09824214,-0.15313992,-0.17410848,-0.07376123,0.043329533,412,412,411,1,-2.4368916,553.4858,0.047972564,3.1441572,31,True,1.4873712,,,,,,,,48,26,0.015681105,51,20,0,0.0032268201,127.727905,0,0,0.91491544,,,,,,,,,False,415,248095.9063413669,30.445845,8148.7607,12.200818,49,115528.85952966743,64.07935,1802.9031,12.681816,48,188518.59574841763,65.91403,2860.0676,11.55951,1.2255238,0,2,0,0,0,1.1223059,0.48099804,0.64130783,2.4894285,0.5227484,1,27,7,20,38.4786,1.7405417,0.016179154,916.6753,8.641602,5000.0,3.5,0.0,222,,,,11.315281,0.022147376,20,41.95182,NOT_AVAILABLE,72.06014869993878,9.943674514690407,306.17269973488413,59.838825787862284,False,False,0,True,True,True,False,False,True,True,False,1.02307506e-13,5.1102086e-13,0.99997175,4986.785,4978.1064,4989.496,3.3985,3.3906,3.4064,-0.0442,-0.0536,-0.0399,808.6101,797.2318,816.693,0.1658,0.1587,0.1686,0.1322,0.1265,0.1344,0.0699,0.0669,0.0711,MARCS
2076525844775760384,1636148068921376768,Gaia DR3 2076525844775760384,2076525844775760384,409618264,2016.0,294.2869625120529,0.19785246,40.213598711987196,0.24827857,9.388901183761192,0.2466025,38.073017,44.7809,5.544176091615265,0.31622136,-44.436370663810465,0.3376866,0.026548909,-0.07085638,-0.15726356,-0.0914954,0.14250976,-0.08027199,-0.3384094,0.10802472,-0.11138852,-0.08759435,306,306,306,0,160.40941,101707.18,2.5892322,4131.889,31,False,1.5617077,,,,,,,,35,25,0.4833515,38,14,6,0.016041676,178.36015,0,0,12.401639,,,,,,,,,False,308,13850363.322246311,2719.078,5093.772,7.833714,32,7539574.600572092,2819.5786,2674.0076,8.145175,33,9086911.59388723,3668.755,2476.8381,7.351855,1.2004368,0,0,0,0,0,0.7933202,0.31146097,0.4818592,-16.338379,1.3491634,1,19,0,17,326.1911,64.43345,0.0,885.61475,15.869038,6000.0,4.0,0.25,222,,,,7.186867,0.0052050315,19,,NOT_AVAILABLE,73.62246921019721,9.192205019211789,309.44275109822973,60.37021583340139,False,False,3,True,True,False,False,False,True,True,False,1.0964923e-13,5.4769237e-13,0.9992449,5783.133,5767.6855,5793.2534,3.6571,3.6463,3.6631,0.0847,0.0817,0.0873,131.0939,130.3534,132.5697,0.0394,0.0285,0.046,0.033,0.0239,0.0387,0.0176,0.0127,0.0207,MARCS
6357337753190592000,1636148068921376768,Gaia DR3 6357337753190592000,6357337753190592000,151435921,2016.0,332.9780013614062,0.015217877,-76.11619969409968,0.01696697,11.165612293009243,0.02047939,545.21216,71.57473,-59.35097785462632,0.020050189,-40.0050484221534,0.023241682,-0.21063127,0.17863724,-0.049011324,0.06604912,-0.19600557,0.110967286,-0.2262854,-0.34326962,0.2355856,-0.34198424,267,267,262,5,-2.052854,1029.9231,0.14472106,26.733809,31,True,1.4837731,,,,,,,,31,22,0.03577328,33,13,26,0.01285661,134.65309,0,0,0.90957606,,,,,,,,,False,274,84893560.52584207,23436.623,3622.2607,5.86518,29,38734077.368340224,26495.451,1461.9142,6.368309,27,66107792.407192454,74844.75,883.26556,5.1972637,1.2349802,0,0,0,0,0,1.1710453,0.503129,0.6679163,25.282724,0.123431146,1,16,0,15,860.8375,,0.36734855,865.5054,0.5459709,4750.0,3.0,0.0,222,10.763579,0.28882766,16,4.954101,0.0056939195,16,,NOT_AVAILABLE,314.09018332298047,-37.339652707797434,293.7336860477611,-57.920521055438925,False,False,0,True,True,False,False,False,True,True,False,1.0258483e-13,5.124061e-13,0.9999443,4823.5947,4822.247,4824.0903,2.6471,2.645,2.6491,-0.2195,-0.2199,-0.2187,89.0616,88.8602,89.261,0.083,0.0816,0.084,0.0655,0.0644,0.0663,0.0345,0.0339,0.035,MARCS
2329865040473724160,1636148068921376768,Gaia DR3 2329865040473724160,2329865040473724160,152438149,2016.0,348.937117002204,0.017570002,-29.847653597104152,0.024196146,9.520166663519596,0.025657233,371.05197,148.33685,146.52654622690844,0.019824803,-23.10394423140758,0.03183462,0.22496325,-0.23050585,-0.3006745,0.024486536,-0.42983216,-0.08587765,-0.5472991,0.021462802,0.25234842,0.52432024,193,193,191,2,-0.42952126,584.4785,0.115789436,15.201892,31,True,1.4711144,,,,,,,,22,12,0.049125873,23,15,6,0.053121943,19.114471,0,0,0.976035,,,,,,,,,False,185,60292634.637188695,11557.311,5216.8394,6.2367063,20,26834456.132442087,37850.07,708.96716,6.7668104,19,47870554.05498352,58571.37,817.3029,5.5477242,1.2390404,0,0,0,0,0,1.2190862,0.53010416,0.688982,-47.14519,0.118941315,1,12,0,10,645.2816,,0.952916,902.7387,0.34062958,4750.0,2.0,0.0,444,7.754833,0.6827991,12,5.2858086,0.0052893725,12,,NOT_AVAILABLE,19.89772601242735,-68.83770285685894,337.6105031963961,-22.980864078243474,False,False,0,True,True,False,False,False,True,True,False,1.0222187e-13,5.105931e-13,0.9999802,4647.712,4646.86,4648.536,2.5683,2.5659,2.5706,-0.19,-0.1901,-0.1898,102.3092,102.047,102.5643,0.0063,0.0049,0.0076,0.0049,0.0038,0.0059,0.0026,0.002,0.0031,MARCS
