starid,source_id,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_mean_mag,phot_rp_mean_mag_error,parallax,parallax_error
6386468454774591744,6386468454774591744,7.2009,0.0028,7.7079,0.0028,6.5361,0.0038,10.9081,0.0153
5224124307320401024,5224124307320401024,7.5272,0.0028,8.0816,0.0029,6.8228,0.0038,5.4618,0.0187
4972969119657226368,4972969119657226368,6.3752,0.0028,6.9270,0.0028,5.6723,0.0038,11.0951,0.0186
4675576135153914368,4675576135153914368,5.5130,0.0028,6.0218,0.0029,4.8438,0.0041,22.7240,0.0339
4921421918602162688,4921421918602162688,5.7635,0.0028,6.2811,0.0028,5.0833,0.0039,13.8605,0.0198
2125795166969907968,2125795166969907968,10.7385,0.0028,11.0501,0.0028,10.2596,0.0038,2.3397,0.0101
2053106620753316352,2053106620753316352,12.2008,0.0028,12.6818,0.0029,11.5595,0.0038,1.2617,0.0097
2076525844775760384,2076525844775760384,7.8337,0.0028,8.1452,0.0028,7.3519,0.0038,9.3889,0.2466
6357337753190592000,6357337753190592000,5.8652,0.0028,6.3683,0.0029,5.1973,0.0040,11.1656,0.0205
2329865040473724160,2329865040473724160,6.2367,0.0028,6.7668,0.0032,5.5477,0.0040,9.5202,0.0257
4759263813434301824,4759263813434301824,6.1010,0.0028,6.5217,0.0030,5.5070,0.0039,9.9970,0.0160
2106705269988803072,2106705269988803072,12.2974,0.0028,12.6549,0.0029,11.7782,0.0038,2.2055,0.0104
2135179533070399232,2135179533070399232,11.7749,0.0028,12.0462,0.0029,11.3386,0.0038,2.9234,0.0103
5062172841616745856,5062172841616745856,5.6148,0.0028,5.9405,0.0029,5.1160,0.0046,39.2946,0.0305
2086625752425381632,2086625752425381632,12.4556,0.0028,12.7937,0.0029,11.9540,0.0038,1.9259,0.0092
2051837651199491968,2051837651199491968,12.3857,0.0031,12.7536,0.0029,11.8032,0.0038,1.1344,0.3240
