starid,source_id,original_ext_source_id,angular_distance,xm_flag,tycho2tdsc_merge_oid,number_of_neighbours,id,hip,tyc1,tyc2,tyc3,id_tycho,tyc,ra,dec,ra_deg,de_deg,ra_mdeg,de_mdeg,pm_ra,pm_de,ep_ra1990,ep_de1990,ep_ra_m,ep_de_m,num,e_ra_deg,e_de_deg,corr,e_ra_mdeg,e_de_mdeg,e_pm_ra,e_pm_de,q_ra_mdeg,q_de_mdeg,q_pm_de,q_pm_ra,pflag,posflg,ccdm,prox,bt_mag,vt_mag,e_bt_mag,e_vt_mag
2076525844775760384,2076525844775760384,3139-611-1,0.047782626,8,2077305,1,3139-611-1,96501,3139,611,1,3139006111,T,294.28690222,40.21388917,294.28690222,40.21388917,294.28693155,40.21379302,9.5,-41.6,1.61,1.68,1990.76,1990.98,14,5.7,5.5,0.1,6.0,6.0,0.9,1.0,1.0,0.7,0.7,1.0,,,,999,8.772,8.016,0.017,0.011
2125795166969907968,2125795166969907968,3142-756-1,0.06903872,8,2122390,1,3142-756-1,,3142,756,1,3142007561,T,291.49722222,42.72839861,291.49722222,42.72839861,291.49722954,42.72845204,2.3,23.2,1.62,1.7,1984.33,1984.84,3,44.5,40.6,0.0,43.0,40.0,1.7,1.6,0.4,1.0,1.0,0.4,,,,999,11.695,11.008,0.069,0.063
2135179533070399232,2135179533070399232,3564-2979-1,0.086209044,8,2259532,1,3564-2979-1,,3564,2979,1,3564029791,,295.22638139,50.55886028,295.22638139,50.55886028,295.22638236,50.55897974,4.2,54.3,1.65,1.72,1983.26,1982.45,4,88.1,86.5,0.0,64.0,60.0,3.0,2.7,0.5,0.2,0.3,0.5,,,,999,12.568,11.849,0.225,0.173
2329865040473724160,2329865040473724160,6979-107-1,0.004967605,8,822251,1,6979-107-1,114842,6979,107,1,6979001071,T,348.93597222,-29.8474975,348.93597222,-29.8474975,348.93635834,-29.84755034,144.0,-22.4,1.63,1.52,1991.37,1991.06,13,4.2,4.7,-0.2,4.0,5.0,1.3,1.2,0.8,1.2,1.3,0.8,,,,999,7.896,6.646,0.015,0.01
4675576135153914368,4675576135153914368,8872-806-1,0.010029722,8,172766,1,8872-806-1,21253,8872,806,1,8872008061,T,68.39205194,-62.82363167,68.39205194,-62.82363167,68.39145737,-62.8236741,-117.0,-18.5,1.64,1.79,1991.34,1991.49,15,3.9,3.7,0.0,4.0,4.0,1.3,1.3,0.8,1.0,1.1,0.8,,,,318,7.106,5.896,0.015,0.009
4759263813434301824,4759263813434301824,8879-1317-1,0.006181818,8,203743,1,8879-1317-1,26190,8879,1317,1,8879013171,T,83.73934139,-61.17598667,83.73934139,-61.17598667,83.73931029,-61.176048,-6.4,-26.6,1.61,1.7,1991.31,1991.4,12,4.0,3.9,0.0,4.0,4.0,1.3,1.3,0.5,0.5,0.5,0.5,,,,999,7.367,6.405,0.015,0.01
4921421918602162688,4921421918602162688,8466-1341-1,0.011978925,8,332322,1,8466-1341-1,2789,8466,1341,1,8466013411,T,8.888815,-54.82175417,8.888815,-54.82175417,8.88890141,-54.82187278,21.5,-51.4,1.67,1.69,1991.35,1991.38,14,3.6,3.6,0.2,4.0,4.0,1.3,1.2,0.8,0.5,0.6,0.8,,,,999,7.322,6.163,0.015,0.01
4972969119657226368,4972969119657226368,8029-287-1,0.01179646,8,409146,1,8029-287-1,1766,8029,287,1,8029002871,T,5.58841583,-50.99259583,5.58841583,-50.99259583,5.58867833,-50.99248646,70.5,47.4,1.57,1.7,1991.14,1991.27,15,3.8,3.6,0.3,4.0,4.0,1.0,1.0,1.0,0.8,0.7,0.9,,,,999,8.103,6.81,0.014,0.01
5062172841616745856,5062172841616745856,7014-630-1,0.0057966597,8,728203,1,7014-630-1,12186,7014,630,1,7014006301,T,39.24425194,-34.57738139,39.24425194,-34.57738139,39.24420387,-34.5779783,-17.2,-261.1,1.7,1.77,1991.46,1991.54,18,3.4,3.2,0.3,3.0,3.0,1.0,1.0,0.3,0.7,0.7,0.4,,,,999,6.568,5.845,0.014,0.009
5224124307320401024,5224124307320401024,8939-1192-1,0.011805849,8,108403,1,8939-1192-1,43803,8939,1192,1,8939011921,T,133.81991972,-67.26552806,133.81991972,-67.26552806,133.82006397,-67.26546669,24.3,26.8,1.74,1.78,1990.99,1991.09,12,5.7,5.8,0.0,6.0,6.0,1.2,1.2,0.7,0.5,0.5,0.7,,,,999,9.241,7.941,0.018,0.011
6357337753190592000,6357337753190592000,9475-1288-1,0.0074095745,8,31228,1,9475-1288-1,109584,9475,1288,1,9475012881,T,332.97968278,-76.11592972,332.97968278,-76.11592972,332.97909661,-76.11601973,-60.1,-39.1,1.58,1.71,1991.27,1991.5,14,3.8,3.7,0.1,4.0,4.0,1.2,1.3,0.5,0.5,0.6,0.6,,,,999,7.413,6.239,0.015,0.009
6386468454774591744,6386468454774591744,9342-671-1,0.004037231,8,68075,1,9342-671-1,116630,9342,671,1,9342006711,T,354.5337025,-70.90341611,354.5337025,-70.90341611,354.53309233,-70.9033599,-86.2,24.5,1.66,1.74,1991.2,1991.28,12,5.0,4.8,0.0,5.0,5.0,1.2,1.2,0.6,0.8,0.8,0.7,,,,999,8.815,7.577,0.017,0.01
