starID,teff,tefferr,logg,loggerr,feh,feherr,source,Av,Averr,d,derr
6386468454774591744,4806,100.000000,3.310000,0.150000,0.050000,0.100000,Jiang2022a,,,91.606700,0.131500
5224124307320401024,4664,53.000000,2.710000,0.040000,-0.190000,0.060000,Jiang2020a,,,183.060700,0.663300
4972969119657226368,4630,80.000000,2.768000,0.027000,0.030000,0.080000,Jiang2022b,,,90.018900,0.173300
4675576135153914368,4828,80.000000,3.181000,0.021000,0.110000,0.080000,Jiang2022b,,,44.034200,0.070500
4921421918602162688,4700,80.000000,2.762000,0.039000,-0.410000,0.080000,Jiang2022b,,,72.086600,0.094800
2125795166969907968,5896,75.000000,3.757000,0.065000,-0.070000,0.100000,Jiang2022b,,,424.523600,1.588400
2053106620753316352,5055,75.000000,3.443000,0.014000,-0.070000,0.100000,Jiang2022b,,,786.657300,5.929300
2076525844775760384,5844,75.000000,3.813000,0.065000,0.210000,0.100000,Jiang2022b,,,105.900700,2.692900
6357337753190592000,4824,80.000000,2.761000,0.058000,-0.100000,0.080000,Jiang2022b,,,89.483200,0.138500
2329865040473724160,4634,80.000000,2.665000,0.054000,0.040000,0.080000,Jiang2022b,,,104.771300,0.243200
4759263813434301824,5132,80.000000,3.135000,0.124000,-0.170000,0.080000,Jiang2022b,,,100.037700,0.149400
2106705269988803072,5699,74.000000,4.162000,0.031500,0.300000,0.100000,Jiang2022b,,,450.612600,2.174900
2135179533070399232,6004,102.000000,4.303000,0.016000,-0.380000,0.100000,Jiang2022b,,,336.779400,1.065000
5062172841616745856,5841,17.000000,4.315000,0.100000,0.130000,0.060000,Jiang2022b,,,25.444000,0.019600
2086625752425381632,5847,69.500000,4.191000,0.019000,0.270000,0.100000,Jiang2022b,,,515.666100,2.609000
2051837651199491968,5543,79.000000,4.081000,0.014000,0.440000,0.100000,Jiang2022b,,,668.836000,113.539300
