starID,teff,tefferr,logg,loggerr,feh,feherr,source,Av,Averr
6386468454774591744,4806,100,3.31,0.15,0.05,0.10,Jiang2022a,,
5224124307320401024,4664,53,2.71,0.04,-0.19,0.06,Jiang2020a,,
4972969119657226368,4630,80.0,2.768,0.027,0.03,0.08,Jiang2022b,,
4675576135153914368,4828,80.0,3.181,0.021,0.11,0.08,Jiang2022b,,
4921421918602162688,4700,80.0,2.762,0.039,-0.41,0.08,Jiang2022b,,
2125795166969907968,5896,75.0,3.757,0.065,-0.07,0.1,Jiang2022b,,
2053106620753316352,5055,75.0,3.443,0.014,-0.07,0.1,Jiang2022b,,
2076525844775760384,5844,75.0,3.813,0.065,0.21,0.1,Jiang2022b,,
6357337753190592000,4824,80.0,2.761,0.058,-0.1,0.08,Jiang2022b,,
2329865040473724160,4634,80.0,2.665,0.054,0.04,0.08,Jiang2022b,,
4759263813434301824,5132,80.0,3.135,0.124,-0.17,0.08,Jiang2022b,,
2106705269988803072,5699,74.0,4.162,0.0315,0.3,0.1,Jiang2022b,,
2135179533070399232,6004,102.0,4.303,0.016,-0.38,0.1,Jiang2022b,,
5062172841616745856,5841,17.0,4.315,0.1,0.13,0.06,Jiang2022b,,
2086625752425381632,5847,69.5,4.191,0.019,0.27,0.1,Jiang2022b,,
2051837651199491968,5543,79.0,4.081,0.014,0.44,0.1,Jiang2022b,,
