wavelength,response
0.35660000,0.00000000
0.35916000,0.00500000
0.36173000,0.01000000
0.36429000,0.01600000
0.36686000,0.02700000
0.36942000,0.04400000
0.37199000,0.06400000
0.37455000,0.09200000
0.37712000,0.14800000
0.37968000,0.23200000
0.38225000,0.32500000
0.38481000,0.41900000
0.38738000,0.51000000
0.38994000,0.59900000
0.39250000,0.68800000
0.39507000,0.76300000
0.39763000,0.81000000
0.40020000,0.83900000
0.40276000,0.86900000
0.40533000,0.89500000
0.40789000,0.91600000
0.41046000,0.93600000
0.41302000,0.95400000
0.41559000,0.96700000
0.41815000,0.97700000
0.42072000,0.98500000
0.42328000,0.99200000
0.42585000,0.99600000
0.42841000,0.99900000
0.43098000,1.00000000
0.43354000,0.99800000
0.43611000,0.99100000
0.43867000,0.98100000
0.44123000,0.97000000
0.44380000,0.95400000
0.44636000,0.93300000
0.44893000,0.91000000
0.45149000,0.88700000
0.45406000,0.86500000
0.45662000,0.84300000
0.45919000,0.82100000
0.46175000,0.79700000
0.46432000,0.77200000
0.46688000,0.74600000
0.46945000,0.71900000
0.47201000,0.69100000
0.47458000,0.66000000
0.47714000,0.62800000
0.47971000,0.59500000
0.48227000,0.56400000
0.48483000,0.53300000
0.48740000,0.50200000
0.48996000,0.47100000
0.49253000,0.44000000
0.49509000,0.41000000
0.49766000,0.37800000
0.50022000,0.34700000
0.50279000,0.31600000
0.50535000,0.28400000
0.50792000,0.25300000
0.51048000,0.22600000
0.51305000,0.20400000
0.51561000,0.18200000
0.51818000,0.16000000
0.52074000,0.13800000
0.52331000,0.11600000
0.52587000,0.09400000
0.52844000,0.07400000
0.53100000,0.05700000
0.53356000,0.04100000
0.53613000,0.02600000
0.53869000,0.01600000
0.54126000,0.01000000
0.54382000,0.00500000
