wavelength,response
0.64300000,0.00000000
0.64550000,0.00010000
0.64800000,0.00030000
0.65050000,0.00040000
0.65300000,0.00040000
0.65550000,0.00030000
0.65800000,0.00030000
0.66050000,0.00040000
0.66300000,0.00090000
0.66550000,0.00190000
0.66800000,0.00340000
0.67050000,0.00560000
0.67300000,0.01030000
0.67550000,0.01940000
0.67800000,0.03440000
0.68050000,0.05610000
0.68300000,0.08390000
0.68550000,0.11640000
0.68800000,0.15280000
0.69050000,0.19480000
0.69300000,0.24080000
0.69550000,0.28570000
0.69800000,0.32330000
0.70050000,0.35030000
0.70300000,0.37590000
0.70550000,0.39900000
0.70800000,0.41620000
0.71050000,0.42330000
0.71300000,0.41650000
0.71550000,0.39430000
0.71800000,0.37600000
0.72050000,0.38230000
0.72300000,0.39180000
0.72550000,0.38920000
0.72800000,0.38280000
0.73050000,0.38200000
0.73300000,0.38840000
0.73550000,0.38720000
0.73800000,0.38210000
0.74050000,0.37870000
0.74300000,0.37590000
0.74550000,0.37270000
0.74800000,0.36810000
0.75050000,0.36180000
0.75300000,0.35650000
0.75550000,0.35540000
0.75800000,0.34780000
0.76050000,0.14730000
0.76300000,0.20960000
0.76550000,0.26480000
0.76800000,0.33000000
0.77050000,0.32560000
0.77300000,0.32230000
0.77550000,0.31790000
0.77800000,0.31290000
0.78050000,0.30770000
0.78300000,0.30260000
0.78550000,0.29800000
0.78800000,0.29440000
0.79050000,0.29210000
0.79300000,0.29160000
0.79550000,0.29210000
0.79800000,0.29270000
0.80050000,0.29230000
0.80300000,0.28960000
0.80550000,0.28400000
0.80800000,0.27580000
0.81050000,0.26420000
0.81300000,0.24270000
0.81550000,0.20910000
0.81800000,0.16890000
0.82050000,0.12760000
0.82300000,0.09010000
0.82550000,0.06030000
0.82800000,0.03780000
0.83050000,0.02180000
0.83300000,0.01170000
0.83550000,0.00680000
0.83800000,0.00480000
0.84050000,0.00330000
0.84300000,0.00200000
0.84550000,0.00130000
0.84800000,0.00100000
0.85050000,0.00090000
0.85300000,0.00090000
0.85550000,0.00080000
0.85800000,0.00050000
0.86050000,0.00020000
0.86300000,0.00000000
