wavelength,response
0.32500000,0.00003871
0.32600000,0.00017577
0.32700000,0.00064949
0.32800000,0.00196691
0.32900000,0.00501083
0.33000000,0.01094581
0.33100000,0.02070354
0.33200000,0.03469679
0.33300000,0.05253193
0.33400000,0.07353884
0.33500000,0.09603523
0.33600000,0.11877577
0.33700000,0.14227858
0.33800000,0.16555765
0.33900000,0.18856914
0.34000000,0.20977704
0.34100000,0.22881615
0.34200000,0.24387676
0.34300000,0.25168300
0.34400000,0.25202805
0.34500000,0.24623711
0.34600000,0.23660706
0.34700000,0.22417719
0.34800000,0.20922786
0.34900000,0.19453029
0.35000000,0.18464862
0.35100000,0.17930576
0.35200000,0.17827131
0.35300000,0.18139062
0.35400000,0.18781571
0.35500000,0.19698856
0.35600000,0.20836893
0.35700000,0.21881676
0.35800000,0.22739315
0.35900000,0.23269568
0.36000000,0.23526237
0.36100000,0.23523678
0.36200000,0.23262222
0.36300000,0.23011920
0.36400000,0.22696330
0.36500000,0.22396513
0.36600000,0.22085195
0.36700000,0.21714126
0.36800000,0.21334415
0.36900000,0.20920548
0.37000000,0.20435162
0.37100000,0.19966272
0.37200000,0.19404754
0.37300000,0.18848349
0.37400000,0.18320848
0.37500000,0.17831821
0.37600000,0.17389031
0.37700000,0.16963529
0.37800000,0.16579269
0.37900000,0.16314999
0.38000000,0.16214392
0.38100000,0.16297062
0.38200000,0.16571096
0.38300000,0.16996124
0.38400000,0.17609880
0.38500000,0.18405916
0.38600000,0.19423830
0.38700000,0.20635601
0.38800000,0.22065710
0.38900000,0.23711672
0.39000000,0.25435219
0.39100000,0.27219088
0.39200000,0.29090288
0.39300000,0.30972058
0.39400000,0.32895721
0.39500000,0.34761739
0.39600000,0.36611542
0.39700000,0.38381492
0.39800000,0.40057747
0.39900000,0.41703331
0.40000000,0.43217582
0.40100000,0.44572467
0.40200000,0.45857735
0.40300000,0.47116507
0.40400000,0.48219723
0.40500000,0.49246916
0.40600000,0.50241340
0.40700000,0.51109703
0.40800000,0.51914395
0.40900000,0.52668233
0.41000000,0.53346585
0.41100000,0.54022284
0.41200000,0.54643008
0.41300000,0.55152848
0.41400000,0.55599585
0.41500000,0.56056955
0.41600000,0.56477809
0.41700000,0.56862241
0.41800000,0.57231206
0.41900000,0.57541420
0.42000000,0.57830270
0.42100000,0.58111425
0.42200000,0.58350951
0.42300000,0.58630447
0.42400000,0.58836754
0.42500000,0.58990416
0.42600000,0.59186904
0.42700000,0.59404709
0.42800000,0.59585617
0.42900000,0.59735854
0.43000000,0.59902208
0.43100000,0.60048030
0.43200000,0.60194749
0.43300000,0.60378444
0.43400000,0.60561965
0.43500000,0.60757856
0.43600000,0.60931626
0.43700000,0.61038333
0.43800000,0.61187300
0.43900000,0.61347142
0.44000000,0.61530149
