wavelength,response
0.32000000,0.00000002
0.32100000,0.00000016
0.32200000,0.00000091
0.32300000,0.00000478
0.32400000,0.00002394
0.32500000,0.00010365
0.32600000,0.00037228
0.32700000,0.00109382
0.32800000,0.00265175
0.32900000,0.00545098
0.33000000,0.00976875
0.33100000,0.01562759
0.33200000,0.02277412
0.33300000,0.03076133
0.33400000,0.03936171
0.33500000,0.04810516
0.33600000,0.05659746
0.33700000,0.06486523
0.33800000,0.07259985
0.33900000,0.07997990
0.34000000,0.08688374
0.34100000,0.09348921
0.34200000,0.09950982
0.34300000,0.10482133
0.34400000,0.10956773
0.34500000,0.11384479
0.34600000,0.11732225
0.34700000,0.12024804
0.34800000,0.12261648
0.34900000,0.12448136
0.35000000,0.12591007
0.35100000,0.12687385
0.35200000,0.12734963
0.35300000,0.12744424
0.35400000,0.12742716
0.35500000,0.12699165
0.35600000,0.12629405
0.35700000,0.12524600
0.35800000,0.12422981
0.35900000,0.12284782
0.36000000,0.12144251
0.36100000,0.12007806
0.36200000,0.11841590
0.36300000,0.11708205
0.36400000,0.11560274
0.36500000,0.11432002
0.36600000,0.11309868
0.36700000,0.11183735
0.36800000,0.11089717
0.36900000,0.11013763
0.37000000,0.10934905
0.37100000,0.10899301
0.37200000,0.10852836
0.37300000,0.10822954
0.37400000,0.10818023
0.37500000,0.10845096
0.37600000,0.10910806
0.37700000,0.10998953
0.37800000,0.11126266
0.37900000,0.11340950
0.38000000,0.11629320
0.38100000,0.12005807
0.38200000,0.12500476
0.38300000,0.13090109
0.38400000,0.13802650
0.38500000,0.14629011
0.38600000,0.15592948
0.38700000,0.16660602
0.38800000,0.17836287
0.38900000,0.19116801
0.39000000,0.20461829
0.39100000,0.21864294
0.39200000,0.23324188
0.39300000,0.24775737
0.39400000,0.26244978
0.39500000,0.27656159
0.39600000,0.29048447
0.39700000,0.30378684
0.39800000,0.31644434
0.39900000,0.32903632
0.40000000,0.34084777
0.40100000,0.35172756
0.40200000,0.36252337
0.40300000,0.37339529
0.40400000,0.38316870
0.40500000,0.39248735
0.40600000,0.40170625
0.40700000,0.41008049
0.40800000,0.41811138
0.40900000,0.42589775
0.41000000,0.43323589
0.41100000,0.44071367
0.41200000,0.44789761
0.41300000,0.45432471
0.41400000,0.46031316
0.41500000,0.46641954
0.41600000,0.47224547
0.41700000,0.47778657
0.41800000,0.48321288
0.41900000,0.48815468
0.42000000,0.49291519
0.42100000,0.49760796
0.42200000,0.50194146
0.42300000,0.50661590
0.42400000,0.51065540
0.42500000,0.51423036
0.42600000,0.51816760
0.42700000,0.52223185
0.42800000,0.52588402
0.42900000,0.52917259
0.43000000,0.53250606
0.43100000,0.53555771
0.43200000,0.53851693
0.43300000,0.54171020
0.43400000,0.54480684
0.43500000,0.54792030
0.43600000,0.55073781
0.43700000,0.55284928
0.43800000,0.55524031
0.43900000,0.55762555
0.44000000,0.56012104
0.44100000,0.56251756
0.44200000,0.56495565
0.44300000,0.56746752
0.44400000,0.56969852
0.44500000,0.57203880
0.44600000,0.57401536
0.44700000,0.57572851
0.44800000,0.57794078
0.44900000,0.58024933
0.45000000,0.58187167
0.45100000,0.58339369
0.45200000,0.58562795
0.45300000,0.58749350
0.45400000,0.58902513
0.45500000,0.59085182
0.45600000,0.59263938
0.45700000,0.59401590
0.45800000,0.59556885
0.45900000,0.59739226
0.46000000,0.59892136
0.46100000,0.60046711
0.46200000,0.60187278
0.46300000,0.60306683
0.46400000,0.60450483
0.46500000,0.60629382
0.46600000,0.60785946
0.46700000,0.60884693
0.46800000,0.60988537
0.46900000,0.61154527
0.47000000,0.61274340
0.47100000,0.61370032
0.47200000,0.61538099
0.47300000,0.61674901
0.47400000,0.61768886
0.47500000,0.61878506
0.47600000,0.62019269
0.47700000,0.62171695
0.47800000,0.62288663
0.47900000,0.62367043
0.48000000,0.62445627
0.48100000,0.62614324
0.48200000,0.62689290
0.48300000,0.62732693
0.48400000,0.62818737
0.48500000,0.62941639
0.48600000,0.63062893
0.48700000,0.63182814
0.48800000,0.63272291
0.48900000,0.63361625
0.49000000,0.63459205
0.49100000,0.63543486
0.49200000,0.63598397
0.49300000,0.63686544
0.49400000,0.63809640
0.49500000,0.63961688
0.49600000,0.64054584
0.49700000,0.64134841
0.49800000,0.64210822
0.49900000,0.64235125
0.50000000,0.64287687
0.50100000,0.64380863
0.50200000,0.64532555
0.50300000,0.64590563
0.50400000,0.64646736
0.50500000,0.64742807
0.50600000,0.64824207
0.50700000,0.64943775
0.50800000,0.65001670
0.50900000,0.65023749
0.51000000,0.65138427
0.51100000,0.65255849
0.51200000,0.65310772
0.51300000,0.65319309
0.51400000,0.65457695
0.51500000,0.65535308
0.51600000,0.65574003
0.51700000,0.65636646
0.51800000,0.65686775
0.51900000,0.65785650
0.52000000,0.65923429
0.52100000,0.66014824
0.52200000,0.66062000
0.52300000,0.66095528
0.52400000,0.66162288
0.52500000,0.66254035
0.52600000,0.66316552
0.52700000,0.66379553
0.52800000,0.66433568
