wavelength,response
0.61000000,0.00010668
0.61100000,0.00014983
0.61200000,0.00021649
0.61300000,0.00031001
0.61400000,0.00045932
0.61500000,0.00070504
0.61600000,0.00108825
0.61700000,0.00175653
0.61800000,0.00296748
0.61900000,0.00511096
0.62000000,0.00895907
0.62100000,0.01402383
0.62200000,0.02271678
0.62300000,0.03678328
0.62400000,0.05831096
0.62500000,0.08941859
0.62600000,0.13149966
0.62700000,0.18501403
0.62800000,0.24864204
0.62900000,0.31995092
0.63000000,0.39453480
0.63100000,0.46848436
0.63200000,0.53741949
0.63300000,0.59690912
0.63400000,0.64585972
0.63500000,0.68321513
0.63600000,0.71087747
0.63700000,0.72866979
0.63800000,0.73903016
0.63900000,0.73827284
0.64000000,0.72845743
0.64100000,0.71060868
0.64200000,0.69395003
0.64300000,0.68342815
0.64400000,0.67872988
0.64500000,0.67837422
0.64600000,0.67990573
0.64700000,0.68357328
0.64800000,0.68724587
0.64900000,0.69008392
0.65000000,0.69324572
0.65100000,0.69547829
0.65200000,0.69681867
0.65300000,0.69780796
0.65400000,0.69852627
0.65500000,0.69916526
0.65600000,0.70045094
0.65700000,0.70145517
0.65800000,0.70341723
0.65900000,0.70455340
0.66000000,0.70683450
0.66100000,0.70845914
0.66200000,0.71049036
0.66300000,0.71209641
0.66400000,0.71448591
0.66500000,0.71686611
0.66600000,0.71937273
0.66700000,0.72159781
0.66800000,0.72326922
0.66900000,0.72461845
0.67000000,0.72585793
0.67100000,0.72780836
0.67200000,0.72839699
0.67300000,0.73043661
0.67400000,0.73109773
0.67500000,0.73145817
0.67600000,0.73137631
0.67700000,0.73160586
0.67800000,0.73197522
0.67900000,0.73220338
0.68000000,0.73177292
0.68100000,0.73122321
0.68200000,0.73043331
0.68300000,0.72993841
0.68400000,0.72957468
0.68500000,0.72955295
0.68600000,0.72959860
0.68700000,0.72974343
0.68800000,0.73004663
0.68900000,0.73109997
0.69000000,0.73112624
0.69100000,0.73209492
0.69200000,0.73363350
0.69300000,0.73275565
0.69400000,0.73407201
0.69500000,0.73419966
0.69600000,0.73512100
0.69700000,0.73568053
0.69800000,0.73614624
0.69900000,0.73726483
0.70000000,0.73759113
0.70100000,0.73796391
0.70200000,0.73678242
0.70300000,0.73674167
0.70400000,0.73766449
0.70500000,0.73775871
0.70600000,0.73782813
0.70700000,0.73697231
0.70800000,0.73606950
0.70900000,0.73541327
0.71000000,0.73519133
0.71100000,0.73472766
0.71200000,0.73404521
0.71300000,0.73325873
0.71400000,0.73286270
0.71500000,0.73177049
0.71600000,0.73160743
0.71700000,0.73160065
0.71800000,0.73095488
0.71900000,0.73087683
0.72000000,0.73223483
0.72100000,0.73147051
0.72200000,0.73173973
0.72300000,0.73196987
0.72400000,0.73387554
0.72500000,0.73411523
0.72600000,0.73649457
0.72700000,0.73717785
0.72800000,0.73759611
0.72900000,0.73886526
0.73000000,0.73955576
0.73100000,0.74138726
0.73200000,0.74199346
0.73300000,0.74302384
0.73400000,0.74362707
0.73500000,0.74395226
0.73600000,0.74339651
0.73700000,0.74313936
0.73800000,0.74368835
0.73900000,0.74391292
0.74000000,0.74343681
0.74100000,0.74248469
0.74200000,0.74169568
0.74300000,0.74140051
0.74400000,0.74034425
0.74500000,0.74018818
0.74600000,0.73903126
0.74700000,0.73857672
0.74800000,0.73917250
0.74900000,0.73888745
0.75000000,0.73838575
0.75100000,0.73875479
0.75200000,0.73929105
0.75300000,0.73860213
0.75400000,0.73878748
0.75500000,0.74007371
0.75600000,0.74009008
0.75700000,0.74034384
0.75800000,0.74013627
0.75900000,0.74031158
0.76000000,0.73919160
0.76100000,0.73909980
0.76200000,0.73942019
0.76300000,0.73893683
0.76400000,0.73871680
0.76500000,0.73782617
0.76600000,0.73663904
0.76700000,0.73454401
0.76800000,0.73421299
0.76900000,0.73162784
0.77000000,0.72999051
0.77100000,0.72909789
0.77200000,0.72738204
0.77300000,0.72577153
0.77400000,0.72513789
0.77500000,0.72343874
0.77600000,0.72185020
0.77700000,0.71926135
0.77800000,0.71832976
0.77900000,0.71764215
0.78000000,0.71483525
0.78100000,0.71327544
0.78200000,0.71318135
0.78300000,0.71197046
0.78400000,0.70960555
0.78500000,0.70810580
0.78600000,0.70727690
0.78700000,0.70627416
0.78800000,0.70578024
0.78900000,0.70532258
0.79000000,0.70454177
0.79100000,0.70401621
0.79200000,0.70429290
0.79300000,0.70410500
0.79400000,0.70372662
0.79500000,0.70290440
0.79600000,0.70321743
0.79700000,0.70321791
0.79800000,0.70403630
0.79900000,0.70368873
0.80000000,0.70376297
0.80100000,0.70349546
0.80200000,0.70404313
0.80300000,0.70460954
0.80400000,0.70435960
0.80500000,0.70377879
0.80600000,0.70282749
0.80700000,0.70305308
0.80800000,0.70200361
0.80900000,0.70215920
0.81000000,0.70122694
0.81100000,0.70097178
0.81200000,0.69971852
0.81300000,0.70032170
0.81400000,0.70007980
0.81500000,0.69832896
0.81600000,0.69640374
0.81700000,0.69493103
0.81800000,0.69421742
0.81900000,0.69281486
0.82000000,0.69046441
0.82100000,0.68937384
0.82200000,0.68824474
0.82300000,0.68682597
0.82400000,0.68577852
0.82500000,0.68301790
0.82600000,0.68172143
0.82700000,0.67985196
0.82800000,0.67810770
0.82900000,0.67620994
0.83000000,0.67501850
0.83100000,0.67371035
0.83200000,0.67139757
0.83300000,0.66996689
0.83400000,0.66889533
0.83500000,0.66688311
0.83600000,0.66535998
0.83700000,0.66100368
0.83800000,0.65928773
0.83900000,0.65744375
0.84000000,0.65524530
0.84100000,0.65287911
0.84200000,0.64991084
0.84300000,0.64818285
0.84400000,0.64776717
0.84500000,0.64374971
0.84600000,0.64082691
0.84700000,0.63750142
0.84800000,0.63438997
0.84900000,0.63265022
0.85000000,0.62786258
0.85100000,0.62641448
0.85200000,0.62360782
0.85300000,0.61955107
0.85400000,0.61786883
0.85500000,0.61422030
0.85600000,0.61196449
0.85700000,0.60928931
0.85800000,0.60466873
0.85900000,0.60143938
0.86000000,0.59848659
0.86100000,0.59464962
0.86200000,0.59279644
0.86300000,0.58927763
0.86400000,0.58598678
0.86500000,0.58174568
0.86600000,0.57936649
0.86700000,0.57554089
0.86800000,0.56949032
0.86900000,0.56779289
0.87000000,0.56642933
0.87100000,0.56192391
0.87200000,0.55861820
0.87300000,0.55835406
0.87400000,0.55364055
0.87500000,0.55057433
0.87600000,0.54756136
0.87700000,0.54306283
0.87800000,0.54132191
0.87900000,0.53555332
0.88000000,0.53205543
0.88100000,0.53039444
0.88200000,0.52594661
0.88300000,0.52402945
0.88400000,0.51982941
0.88500000,0.51568975
0.88600000,0.51419641
0.88700000,0.50959204
0.88800000,0.50753118
0.88900000,0.50486534
0.89000000,0.49984038
0.89100000,0.49748432
0.89200000,0.49314896
0.89300000,0.48835688
0.89400000,0.48678241
0.89500000,0.48171449
0.89600000,0.47808544
0.89700000,0.47608743
0.89800000,0.47134936
0.89900000,0.46666927
0.90000000,0.46318308
0.90100000,0.45905956
0.90200000,0.45473717
0.90300000,0.45109703
0.90400000,0.44758616
0.90500000,0.44331500
0.90600000,0.44047928
0.90700000,0.43547218
0.90800000,0.43068436
0.90900000,0.42866916
0.91000000,0.42365446
0.91100000,0.41891597
0.91200000,0.41589097
0.91300000,0.41014362
0.91400000,0.40713310
0.91500000,0.40419784
0.91600000,0.39804352
0.91700000,0.39593987
0.91800000,0.39190559
0.91900000,0.38537235
0.92000000,0.38373040
0.92100000,0.37911520
0.92200000,0.37295609
0.92300000,0.37109030
0.92400000,0.36595320
0.92500000,0.36112216
0.92600000,0.35866424
0.92700000,0.35308043
0.92800000,0.34864649
0.92900000,0.34598514
0.93000000,0.34095815
0.93100000,0.33667860
0.93200000,0.33348432
0.93300000,0.32885536
0.93400000,0.32467017
0.93500000,0.32011299
0.93600000,0.31597311
0.93700000,0.31179107
0.93800000,0.30679965
0.93900000,0.30366820
0.94000000,0.29919750
0.94100000,0.29402808
0.94200000,0.29150423
0.94300000,0.28624897
0.94400000,0.28044612
0.94500000,0.27841200
0.94600000,0.27372089
0.94700000,0.26799473
0.94800000,0.26597188
0.94900000,0.26142601
0.95000000,0.25554029
0.95100000,0.25256521
0.95200000,0.24901075
0.95300000,0.24400302
0.95400000,0.24115001
0.95500000,0.23720752
0.95600000,0.23174747
0.95700000,0.22832375
0.95800000,0.22436998
0.95900000,0.22023314
0.96000000,0.21653866
0.96100000,0.21217949
0.96200000,0.20878395
0.96300000,0.20528548
0.96400000,0.20053558
0.96500000,0.19773148
0.96600000,0.19442496
0.96700000,0.18944788
0.96800000,0.18685198
0.96900000,0.18381639
0.97000000,0.17879082
0.97100000,0.17604454
0.97200000,0.17342644
0.97300000,0.16833283
0.97400000,0.16536035
0.97500000,0.16347324
0.97600000,0.15864424
0.97700000,0.15506902
0.97800000,0.15354697
0.97900000,0.14952382
0.98000000,0.14539022
0.98100000,0.14364068
0.98200000,0.14051589
0.98300000,0.13595930
0.98400000,0.13369759
0.98500000,0.13185719
0.98600000,0.12731497
0.98700000,0.12421549
0.98800000,0.12209051
0.98900000,0.11822263
0.99000000,0.11426395
0.99100000,0.11168562
0.99200000,0.10872971
0.99300000,0.10443723
0.99400000,0.10148916
0.99500000,0.09873330
0.99600000,0.09446850
0.99700000,0.09121830
0.99800000,0.08839808
0.99900000,0.08475384
1.00000000,0.08151652
1.00100000,0.07867323
1.00200000,0.07516055
1.00300000,0.07204965
1.00400000,0.06937478
1.00500000,0.06611728
1.00600000,0.06287120
1.00700000,0.06049794
1.00800000,0.05773207
1.00900000,0.05437831
1.01000000,0.05216487
1.01100000,0.04988189
1.01200000,0.04675191
1.01300000,0.04439544
1.01400000,0.04253832
1.01500000,0.04004576
1.01600000,0.03757255
1.01700000,0.03604262
1.01800000,0.03417089
1.01900000,0.03181191
1.02000000,0.03016902
1.02100000,0.02886354
1.02200000,0.02695782
1.02300000,0.02527110
1.02400000,0.02411697
1.02500000,0.02285531
1.02600000,0.02120258
1.02700000,0.02004231
1.02800000,0.01907709
1.02900000,0.01777316
1.03000000,0.01659184
1.03100000,0.01575592
1.03200000,0.01484861
1.03300000,0.01371826
1.03400000,0.01291412
1.03500000,0.01222177
1.03600000,0.01137073
1.03700000,0.01057114
1.03800000,0.00999105
1.03900000,0.00937162
1.04000000,0.00861891
1.04100000,0.00807237
1.04200000,0.00760518
1.04300000,0.00704577
1.04400000,0.00649709
1.04500000,0.00611395
1.04600000,0.00572536
1.04700000,0.00522218
1.04800000,0.00485608
1.04900000,0.00456762
1.05000000,0.00422677
1.05100000,0.00384830
1.05200000,0.00359846
1.05300000,0.00336810
1.05400000,0.00307450
1.05500000,0.00281129
1.05600000,0.00263746
1.05700000,0.00245554
1.05800000,0.00220908
1.05900000,0.00203074
1.06000000,0.00190499
1.06100000,0.00175292
1.06200000,0.00156799
