wavelength,response
0.34605000,0.00000000
0.35202000,0.02400000
0.35798000,0.04600000
0.36394000,0.06900000
0.36990000,0.09600000
0.37587000,0.13000000
0.38183000,0.16700000
0.38779000,0.20500000
0.39375000,0.24300000
0.39972000,0.28500000
0.40568000,0.32900000
0.41164000,0.37600000
0.41760000,0.42100000
0.42357000,0.46800000
0.42953000,0.51900000
0.43549000,0.57500000
0.44145000,0.63500000
0.44742000,0.69600000
0.45338000,0.75300000
0.45934000,0.80500000
0.46530000,0.85500000
0.47127000,0.90100000
0.47723000,0.93900000
0.48319000,0.96700000
0.48915000,0.98500000
0.49512000,0.99500000
0.50108000,1.00000000
0.50704000,0.99800000
0.51300000,0.99300000
0.51896000,0.98500000
0.52493000,0.97400000
0.53089000,0.96000000
0.53685000,0.94200000
0.54281000,0.92200000
0.54878000,0.90200000
0.55474000,0.88100000
0.56070000,0.85900000
0.56666000,0.83600000
0.57263000,0.81200000
0.57859000,0.78800000
0.58455000,0.76300000
0.59051000,0.73900000
0.59648000,0.71500000
0.60244000,0.69000000
0.60840000,0.66600000
0.61436000,0.64200000
0.62033000,0.61800000
0.62629000,0.59400000
0.63225000,0.57000000
0.63821000,0.54700000
0.64418000,0.52500000
0.65014000,0.50300000
0.65610000,0.48200000
0.66206000,0.46100000
0.66803000,0.44000000
0.67399000,0.42000000
0.67995000,0.40100000
0.68591000,0.38100000
0.69187000,0.36300000
0.69784000,0.34400000
0.70380000,0.32600000
0.70976000,0.30800000
0.71572000,0.29000000
0.72169000,0.27300000
0.72765000,0.25500000
0.73361000,0.23900000
0.73957000,0.22300000
0.74554000,0.20700000
0.75150000,0.19300000
0.75746000,0.17900000
0.76342000,0.16500000
0.76939000,0.15200000
0.77535000,0.14000000
0.78131000,0.12900000
0.78727000,0.11800000
0.79324000,0.10900000
0.79920000,0.09900000
0.80516000,0.09100000
0.81112000,0.08300000
0.81709000,0.07600000
0.82305000,0.06900000
0.82901000,0.06200000
0.83497000,0.05500000
0.84094000,0.04800000
0.84690000,0.04200000
0.85286000,0.03600000
0.85882000,0.03100000
0.86478000,0.02700000
0.87075000,0.02300000
0.87671000,0.02000000
0.88267000,0.01700000
0.88863000,0.01400000
0.89460000,0.01200000
0.90056000,0.01000000
0.90652000,0.00800000
0.91248000,0.00600000
0.91845000,0.00400000
0.92441000,0.00200000
0.93037000,0.00100000
