wavelength,response
6.15115000,0.00007100
6.15846000,0.00012400
6.16578000,0.00018800
6.17312000,0.00020600
6.18048000,0.00018000
6.18786000,0.00014700
6.19525000,0.00009600
6.20266000,0.00005000
6.21009000,0.00008300
6.21753000,0.00012300
6.22500000,0.00014700
6.23248000,0.00019800
6.23998000,0.00022800
6.24750000,0.00023100
6.25503000,0.00023200
6.26259000,0.00028700
6.27016000,0.00047100
6.27775000,0.00076800
6.28536000,0.00118900
6.29299000,0.00201600
6.30064000,0.00336200
6.30830000,0.00523900
6.31598000,0.00790600
6.32369000,0.01174000
6.33141000,0.01626000
6.33915000,0.02164000
6.34691000,0.02857000
6.35469000,0.03616000
6.36248000,0.04395000
6.37030000,0.05329000
6.37813000,0.06244000
6.38599000,0.07309000
6.39386000,0.08594000
6.40176000,0.10040000
6.40967000,0.11290000
6.41760000,0.12550000
6.42556000,0.13780000
6.43353000,0.14850000
6.44152000,0.15890000
6.44953000,0.16710000
6.45756000,0.17400000
6.46561000,0.17930000
6.47369000,0.18480000
6.48178000,0.18980000
6.48989000,0.19710000
6.49802000,0.20490000
6.50618000,0.21170000
6.51435000,0.21700000
6.52254000,0.21990000
6.53076000,0.22150000
6.53900000,0.22400000
6.54725000,0.22720000
6.55553000,0.22950000
6.56383000,0.23130000
6.57215000,0.23260000
6.58049000,0.23280000
6.58885000,0.23290000
6.59723000,0.23350000
6.60563000,0.23310000
6.61406000,0.23250000
6.62251000,0.23010000
6.63098000,0.22800000
6.63947000,0.22610000
6.64798000,0.22370000
6.65651000,0.22260000
6.66507000,0.22160000
6.67365000,0.22200000
6.68225000,0.22360000
6.69087000,0.22620000
6.69951000,0.22860000
6.70818000,0.23100000
6.71687000,0.23300000
6.72558000,0.23470000
6.73432000,0.23600000
6.74307000,0.23720000
6.75185000,0.23780000
6.76066000,0.23930000
6.76948000,0.24060000
6.77833000,0.24180000
6.78720000,0.24290000
6.79610000,0.24400000
6.80502000,0.24480000
6.81396000,0.24610000
6.82293000,0.24710000
6.83191000,0.24810000
6.84093000,0.24850000
6.84996000,0.24910000
6.85903000,0.24940000
6.86811000,0.24920000
6.87722000,0.24880000
6.88635000,0.24830000
6.89551000,0.24770000
6.90469000,0.24730000
6.91390000,0.24760000
6.92313000,0.24850000
6.93238000,0.24920000
6.94166000,0.24910000
6.95097000,0.24880000
6.96030000,0.24790000
6.96965000,0.24690000
6.97904000,0.24500000
6.98844000,0.24340000
6.99787000,0.24240000
7.00733000,0.24180000
7.01681000,0.24180000
7.02632000,0.24140000
7.03585000,0.24100000
7.04541000,0.24090000
7.05500000,0.24030000
7.06461000,0.23960000
7.07425000,0.23920000
7.08391000,0.23960000
7.09360000,0.24030000
7.10332000,0.24110000
7.11306000,0.24180000
7.12283000,0.24220000
7.13263000,0.24210000
7.14246000,0.24170000
7.15231000,0.24130000
7.16219000,0.24070000
7.17209000,0.24080000
7.18203000,0.24180000
7.19199000,0.24330000
7.20198000,0.24470000
7.21199000,0.24600000
7.22204000,0.24770000
7.23211000,0.24930000
7.24221000,0.24970000
7.25234000,0.24940000
7.26250000,0.24830000
7.27268000,0.24620000
7.28290000,0.24380000
7.29314000,0.24270000
7.30341000,0.24200000
7.31371000,0.24280000
7.32404000,0.24420000
7.33440000,0.24680000
