wavelength,response
0.70289000,0.00000000
0.70588000,0.02500000
0.70887000,0.05100000
0.71186000,0.08300000
0.71485000,0.13800000
0.71784000,0.21000000
0.72083000,0.28500000
0.72382000,0.36600000
0.72681000,0.45200000
0.72979000,0.54000000
0.73278000,0.62100000
0.73577000,0.69100000
0.73876000,0.75400000
0.74175000,0.81200000
0.74474000,0.85800000
0.74773000,0.89000000
0.75072000,0.91900000
0.75371000,0.94400000
0.75670000,0.96200000
0.75969000,0.97600000
0.76267000,0.98900000
0.76566000,0.99500000
0.76865000,0.99800000
0.77164000,0.99900000
0.77463000,1.00000000
0.77762000,0.99900000
0.78061000,0.99800000
0.78360000,0.99700000
0.78659000,0.99600000
0.78958000,0.99500000
0.79257000,0.99500000
0.79556000,0.99500000
0.79854000,0.99700000
0.80153000,0.99800000
0.80452000,0.99900000
0.80751000,0.99800000
0.81050000,0.99700000
0.81349000,0.99500000
0.81648000,0.99000000
0.81947000,0.98500000
0.82246000,0.97900000
0.82545000,0.97400000
0.82844000,0.96700000
0.83143000,0.96100000
0.83441000,0.95200000
0.83740000,0.94200000
0.84039000,0.93000000
0.84338000,0.91800000
0.84637000,0.90500000
0.84936000,0.89200000
0.85235000,0.87700000
0.85534000,0.85900000
0.85833000,0.83700000
0.86132000,0.81500000
0.86431000,0.78400000
0.86730000,0.74300000
0.87028000,0.69800000
0.87327000,0.64900000
0.87626000,0.59300000
0.87925000,0.53000000
0.88224000,0.46700000
0.88523000,0.40400000
0.88822000,0.34300000
0.89121000,0.28200000
0.89420000,0.22600000
0.89719000,0.17800000
0.90018000,0.13400000
0.90317000,0.09400000
0.90615000,0.06400000
0.90914000,0.04300000
0.91213000,0.02400000
0.91512000,0.01000000
0.91811000,0.00500000
0.92110000,0.00300000
