wavelength,response
0.55070000,0.00000000
0.55530000,0.10600000
0.55989000,0.24100000
0.56448000,0.43100000
0.56907000,0.63100000
0.57366000,0.76900000
0.57825000,0.85300000
0.58284000,0.91000000
0.58744000,0.94800000
0.59203000,0.97500000
0.59662000,0.98900000
0.60121000,0.99700000
0.60580000,1.00000000
0.61039000,0.99900000
0.61499000,0.99700000
0.61958000,0.99200000
0.62417000,0.98600000
0.62876000,0.97900000
0.63335000,0.97000000
0.63794000,0.96000000
0.64253000,0.94800000
0.64713000,0.93400000
0.65172000,0.91800000
0.65631000,0.90000000
0.66090000,0.88400000
0.66549000,0.86700000
0.67008000,0.84900000
0.67467000,0.82800000
0.67927000,0.80500000
0.68386000,0.78000000
0.68845000,0.75500000
0.69304000,0.73000000
0.69763000,0.70400000
0.70222000,0.67800000
0.70682000,0.65200000
0.71141000,0.62600000
0.71600000,0.60100000
0.72059000,0.57600000
0.72518000,0.54900000
0.72977000,0.52100000
0.73436000,0.49200000
0.73896000,0.46300000
0.74355000,0.43400000
0.74814000,0.40700000
0.75273000,0.37900000
0.75732000,0.35200000
0.76191000,0.32500000
0.76650000,0.29900000
0.77110000,0.27400000
0.77569000,0.25100000
0.78028000,0.22900000
0.78487000,0.20800000
0.78946000,0.18800000
0.79405000,0.16700000
0.79864000,0.14800000
0.80324000,0.13000000
0.80783000,0.11400000
0.81242000,0.10100000
0.81701000,0.09000000
0.82160000,0.08000000
0.82619000,0.07100000
0.83079000,0.06300000
0.83538000,0.05500000
0.83997000,0.04700000
0.84456000,0.04000000
0.84915000,0.03300000
0.85374000,0.02700000
0.85833000,0.02100000
0.86293000,0.01700000
0.86752000,0.01400000
0.87211000,0.01200000
0.87670000,0.00900000
0.88129000,0.00600000
0.88588000,0.00300000
