wavelength,response
0.29420000,0.00000000
0.29591000,0.01200000
0.29762000,0.02400000
0.29933000,0.03700000
0.30104000,0.05100000
0.30275000,0.06600000
0.30446000,0.08200000
0.30617000,0.09800000
0.30788000,0.11500000
0.30959000,0.13300000
0.31130000,0.15200000
0.31301000,0.17200000
0.31472000,0.19200000
0.31643000,0.21200000
0.31815000,0.23400000
0.31986000,0.25600000
0.32157000,0.27900000
0.32328000,0.30200000
0.32499000,0.32500000
0.32670000,0.34900000
0.32841000,0.37300000
0.33012000,0.39800000
0.33183000,0.42300000
0.33354000,0.44900000
0.33525000,0.47500000
0.33696000,0.50100000
0.33867000,0.52800000
0.34038000,0.55600000
0.34209000,0.58300000
0.34380000,0.61100000
0.34551000,0.63900000
0.34722000,0.66700000
0.34893000,0.69500000
0.35064000,0.72200000
0.35235000,0.74900000
0.35406000,0.77500000
0.35578000,0.80000000
0.35749000,0.82400000
0.35920000,0.84700000
0.36091000,0.87000000
0.36262000,0.89200000
0.36433000,0.91300000
0.36604000,0.93300000
0.36775000,0.95200000
0.36946000,0.97000000
0.37117000,0.98500000
0.37288000,0.99600000
0.37459000,1.00000000
0.37630000,0.99700000
0.37801000,0.98500000
0.37972000,0.96200000
0.38143000,0.92900000
0.38314000,0.88500000
0.38485000,0.83000000
0.38656000,0.76700000
0.38827000,0.69700000
0.38998000,0.62500000
0.39170000,0.55200000
0.39341000,0.48100000
0.39512000,0.41300000
0.39683000,0.34900000
0.39854000,0.29000000
0.40025000,0.23800000
0.40196000,0.19100000
0.40367000,0.15100000
0.40538000,0.11700000
0.40709000,0.08900000
0.40880000,0.06600000
0.41051000,0.04700000
0.41222000,0.03300000
0.41393000,0.02200000
0.41564000,0.01300000
0.41735000,0.00800000
0.41906000,0.00300000
