wavelength,response
0.47182000,0.00000000
0.47586000,0.01700000
0.47991000,0.04100000
0.48395000,0.07800000
0.48800000,0.13400000
0.49204000,0.21100000
0.49608000,0.31100000
0.50013000,0.42900000
0.50417000,0.55300000
0.50822000,0.67500000
0.51226000,0.78800000
0.51630000,0.87900000
0.52035000,0.94300000
0.52439000,0.98300000
0.52844000,1.00000000
0.53248000,0.99300000
0.53653000,0.97500000
0.54057000,0.94900000
0.54461000,0.91500000
0.54866000,0.87700000
0.55270000,0.83500000
0.55675000,0.79000000
0.56079000,0.74200000
0.56484000,0.69400000
0.56888000,0.64800000
0.57292000,0.60500000
0.57697000,0.56500000
0.58101000,0.52500000
0.58506000,0.48600000
0.58910000,0.44600000
0.59314000,0.40700000
0.59719000,0.37000000
0.60123000,0.33400000
0.60528000,0.30100000
0.60932000,0.27000000
0.61337000,0.24000000
0.61741000,0.21400000
0.62145000,0.18900000
0.62550000,0.16700000
0.62954000,0.14600000
0.63359000,0.12800000
0.63763000,0.11100000
0.64167000,0.09600000
0.64572000,0.08200000
0.64976000,0.06900000
0.65381000,0.05800000
0.65785000,0.04700000
0.66190000,0.03800000
0.66594000,0.03000000
0.66998000,0.02400000
0.67403000,0.01900000
0.67807000,0.01500000
0.68212000,0.01200000
0.68616000,0.01000000
0.69021000,0.00800000
0.69425000,0.00700000
0.69829000,0.00600000
0.70234000,0.00600000
0.70638000,0.00500000
0.71043000,0.00400000
0.71447000,0.00400000
0.71851000,0.00300000
0.72256000,0.00300000
0.72660000,0.00300000
0.73065000,0.00200000
0.73469000,0.00200000
0.73874000,0.00200000
0.74278000,0.00100000
0.74682000,0.00100000
0.75087000,0.00100000
0.75491000,0.00100000
0.75896000,0.00000000
0.76300000,0.00000000
0.76704000,0.00000000
