wavelength,response
0.36300000,0.00000000
0.36550000,0.00030000
0.36800000,0.00080000
0.37050000,0.00130000
0.37300000,0.00190000
0.37550000,0.00240000
0.37800000,0.00340000
0.38050000,0.00550000
0.38300000,0.01030000
0.38550000,0.01940000
0.38800000,0.03260000
0.39050000,0.04920000
0.39300000,0.06860000
0.39550000,0.09000000
0.39800000,0.11230000
0.40050000,0.13420000
0.40300000,0.15450000
0.40550000,0.17220000
0.40800000,0.18730000
0.41050000,0.20030000
0.41300000,0.21160000
0.41550000,0.22140000
0.41800000,0.23010000
0.42050000,0.23780000
0.42300000,0.24480000
0.42550000,0.25130000
0.42800000,0.25740000
0.43050000,0.26330000
0.43300000,0.26910000
0.43550000,0.27470000
0.43800000,0.28010000
0.44050000,0.28520000
0.44300000,0.28990000
0.44550000,0.29400000
0.44800000,0.29790000
0.45050000,0.30160000
0.45300000,0.30550000
0.45550000,0.30970000
0.45800000,0.31410000
0.46050000,0.31840000
0.46300000,0.32240000
0.46550000,0.32570000
0.46800000,0.32840000
0.47050000,0.33070000
0.47300000,0.33270000
0.47550000,0.33460000
0.47800000,0.33640000
0.48050000,0.33830000
0.48300000,0.34030000
0.48550000,0.34250000
0.48800000,0.34480000
0.49050000,0.34720000
0.49300000,0.34950000
0.49550000,0.35190000
0.49800000,0.35410000
0.50050000,0.35620000
0.50300000,0.35810000
0.50550000,0.35970000
0.50800000,0.36090000
0.51050000,0.36130000
0.51300000,0.36090000
0.51550000,0.35950000
0.51800000,0.35810000
0.52050000,0.35580000
0.52300000,0.34520000
0.52550000,0.31940000
0.52800000,0.28070000
0.53050000,0.23390000
0.53300000,0.18390000
0.53550000,0.13520000
0.53800000,0.09110000
0.54050000,0.05480000
0.54300000,0.02950000
0.54550000,0.01660000
0.54800000,0.01120000
0.55050000,0.00770000
0.55300000,0.00500000
0.55550000,0.00320000
0.55800000,0.00210000
0.56050000,0.00150000
0.56300000,0.00120000
0.56550000,0.00100000
0.56800000,0.00090000
0.57050000,0.00080000
0.57300000,0.00060000
0.57550000,0.00050000
0.57800000,0.00030000
0.58050000,0.00010000
0.58300000,0.00000000
