wavelength,response
0.53800000,0.00000000
0.54050000,0.00140000
0.54300000,0.00990000
0.54550000,0.02590000
0.54800000,0.04970000
0.55050000,0.08070000
0.55300000,0.11860000
0.55550000,0.16250000
0.55800000,0.20930000
0.56050000,0.25550000
0.56300000,0.29750000
0.56550000,0.33260000
0.56800000,0.36090000
0.57050000,0.38340000
0.57300000,0.40100000
0.57550000,0.41470000
0.57800000,0.42530000
0.58050000,0.43330000
0.58300000,0.43950000
0.58550000,0.44460000
0.58800000,0.44890000
0.59050000,0.45270000
0.59300000,0.45630000
0.59550000,0.45990000
0.59800000,0.46340000
0.60050000,0.46650000
0.60300000,0.46890000
0.60550000,0.47030000
0.60800000,0.47110000
0.61050000,0.47170000
0.61300000,0.47270000
0.61550000,0.47440000
0.61800000,0.47670000
0.62050000,0.47920000
0.62300000,0.48190000
0.62550000,0.48440000
0.62800000,0.48670000
0.63050000,0.48870000
0.63300000,0.49020000
0.63550000,0.49090000
0.63800000,0.49120000
0.64050000,0.49120000
0.64300000,0.49120000
0.64550000,0.49140000
0.64800000,0.49150000
0.65050000,0.49120000
0.65300000,0.49010000
0.65550000,0.48780000
0.65800000,0.48520000
0.66050000,0.48180000
0.66300000,0.46970000
0.66550000,0.44210000
0.66800000,0.40090000
0.67050000,0.34990000
0.67300000,0.29240000
0.67550000,0.23180000
0.67800000,0.17150000
0.68050000,0.11520000
0.68300000,0.06870000
0.68550000,0.03800000
0.68800000,0.02120000
0.69050000,0.01340000
0.69300000,0.00990000
0.69550000,0.00760000
0.69800000,0.00550000
0.70050000,0.00390000
0.70300000,0.00270000
0.70550000,0.00200000
0.70800000,0.00150000
0.71050000,0.00120000
0.71300000,0.00100000
0.71550000,0.00070000
0.71800000,0.00040000
0.72050000,0.00020000
0.72300000,0.00000000
