wavelength,response
0.29800000,0.00000000
0.30050000,0.00010000
0.30300000,0.00050000
0.30550000,0.00130000
0.30800000,0.00260000
0.31050000,0.00520000
0.31300000,0.00930000
0.31550000,0.01610000
0.31800000,0.02400000
0.32050000,0.03230000
0.32300000,0.04050000
0.32550000,0.04850000
0.32800000,0.05610000
0.33050000,0.06340000
0.33300000,0.07000000
0.33550000,0.07560000
0.33800000,0.08030000
0.34050000,0.08480000
0.34300000,0.08830000
0.34550000,0.09170000
0.34800000,0.09590000
0.35050000,0.10010000
0.35300000,0.10290000
0.35550000,0.10440000
0.35800000,0.10530000
0.36050000,0.10630000
0.36300000,0.10750000
0.36550000,0.10850000
0.36800000,0.10840000
0.37050000,0.10640000
0.37300000,0.10240000
0.37550000,0.09660000
0.37800000,0.08870000
0.38050000,0.07870000
0.38300000,0.06720000
0.38550000,0.05490000
0.38800000,0.04130000
0.39050000,0.02680000
0.39300000,0.01450000
0.39550000,0.00750000
0.39800000,0.00420000
0.40050000,0.00220000
0.40300000,0.00100000
0.40550000,0.00060000
0.40800000,0.00040000
0.41050000,0.00020000
0.41300000,0.00000000
