wavelength,response
0.77300000,0.00000000
0.77550000,0.00000000
0.77800000,0.00010000
0.78050000,0.00010000
0.78300000,0.00010000
0.78550000,0.00020000
0.78800000,0.00020000
0.79050000,0.00030000
0.79300000,0.00050000
0.79550000,0.00070000
0.79800000,0.00110000
0.80050000,0.00170000
0.80300000,0.00270000
0.80550000,0.00400000
0.80800000,0.00570000
0.81050000,0.00790000
0.81300000,0.01060000
0.81550000,0.01390000
0.81800000,0.01780000
0.82050000,0.02220000
0.82300000,0.02710000
0.82550000,0.03240000
0.82800000,0.03820000
0.83050000,0.04460000
0.83300000,0.05110000
0.83550000,0.05640000
0.83800000,0.06030000
0.84050000,0.06370000
0.84300000,0.06670000
0.84550000,0.06940000
0.84800000,0.07170000
0.85050000,0.07360000
0.85300000,0.07520000
0.85550000,0.07650000
0.85800000,0.07750000
0.86050000,0.07820000
0.86300000,0.07860000
0.86550000,0.07870000
0.86800000,0.07850000
0.87050000,0.07800000
0.87300000,0.07720000
0.87550000,0.07630000
0.87800000,0.07510000
0.88050000,0.07380000
0.88300000,0.07230000
0.88550000,0.07080000
0.88800000,0.06930000
0.89050000,0.06740000
0.89300000,0.06320000
0.89550000,0.05810000
0.89800000,0.05430000
0.90050000,0.05260000
0.90300000,0.05230000
0.90550000,0.05220000
0.90800000,0.05120000
0.91050000,0.04960000
0.91300000,0.04810000
0.91550000,0.04730000
0.91800000,0.04760000
0.92050000,0.04820000
0.92300000,0.04760000
0.92550000,0.04470000
0.92800000,0.03910000
0.93050000,0.03290000
0.93300000,0.02830000
0.93550000,0.02640000
0.93800000,0.02710000
0.94050000,0.02830000
0.94300000,0.02750000
0.94550000,0.02540000
0.94800000,0.02520000
0.95050000,0.02560000
0.95300000,0.02460000
0.95550000,0.02440000
0.95800000,0.02520000
0.96050000,0.02580000
0.96300000,0.02650000
0.96550000,0.02740000
0.96800000,0.02790000
0.97050000,0.02710000
0.97300000,0.02520000
0.97550000,0.02360000
0.97800000,0.02270000
0.98050000,0.02220000
0.98300000,0.02160000
0.98550000,0.02080000
0.98800000,0.01960000
0.99050000,0.01830000
0.99300000,0.01710000
0.99550000,0.01600000
0.99800000,0.01490000
1.00050000,0.01380000
1.00300000,0.01280000
1.00550000,0.01180000
1.00800000,0.01080000
1.01050000,0.00990000
1.01300000,0.00910000
1.01550000,0.00830000
1.01800000,0.00750000
1.02050000,0.00680000
1.02300000,0.00610000
1.02550000,0.00550000
1.02800000,0.00500000
1.03050000,0.00450000
1.03300000,0.00410000
1.03550000,0.00370000
1.03800000,0.00330000
1.04050000,0.00300000
1.04300000,0.00270000
1.04550000,0.00250000
1.04800000,0.00230000
1.05050000,0.00210000
1.05300000,0.00190000
1.05550000,0.00180000
1.05800000,0.00170000
1.06050000,0.00160000
1.06300000,0.00150000
1.06550000,0.00140000
1.06800000,0.00130000
1.07050000,0.00120000
1.07300000,0.00110000
1.07550000,0.00100000
1.07800000,0.00090000
1.08050000,0.00080000
1.08300000,0.00080000
1.08550000,0.00070000
1.08800000,0.00060000
1.09050000,0.00060000
1.09300000,0.00060000
1.09550000,0.00050000
1.09800000,0.00050000
1.10050000,0.00040000
1.10300000,0.00040000
1.10550000,0.00030000
1.10800000,0.00030000
1.11050000,0.00020000
1.11300000,0.00020000
1.11550000,0.00010000
1.11800000,0.00010000
1.12050000,0.00000000
1.12300000,0.00000000
