wavelength,response
0.40000000,0.00000000
0.40500000,0.00300000
0.41000000,0.00600000
0.41500000,0.07800000
0.42000000,0.30100000
0.42500000,0.50600000
0.43000000,0.61200000
0.43500000,0.67600000
0.44000000,0.71600000
0.44500000,0.75300000
0.45000000,0.78400000
0.45500000,0.81300000
0.46000000,0.83900000
0.46500000,0.85600000
0.47000000,0.87600000
0.47500000,0.89600000
0.48000000,0.91800000
0.48500000,0.93900000
0.49000000,0.95300000
0.49500000,0.97100000
0.50000000,0.98100000
0.50500000,0.99000000
0.51000000,0.99500000
0.51500000,1.00000000
0.52000000,0.99700000
0.52500000,0.98800000
0.53000000,0.98000000
0.53500000,0.96000000
0.54000000,0.93700000
0.54500000,0.90800000
0.55000000,0.87400000
0.55500000,0.82800000
0.56000000,0.77500000
0.56500000,0.71900000
0.57000000,0.65800000
0.57500000,0.59400000
0.58000000,0.52400000
0.58500000,0.46000000
0.59000000,0.39100000
0.59500000,0.32900000
0.60000000,0.27100000
0.60500000,0.21900000
0.61000000,0.17300000
0.61500000,0.13500000
0.62000000,0.10300000
0.62500000,0.07700000
0.63000000,0.05700000
0.63500000,0.04200000
0.64000000,0.03100000
0.64500000,0.02000000
0.65000000,0.01400000
0.65500000,0.01200000
0.66000000,0.00700000
0.66500000,0.00500000
0.67000000,0.00000000
