wavelength,response
0.68000000,0.00000000
0.68500000,0.00100000
0.69000000,0.00300000
0.69500000,0.01500000
0.70000000,0.08700000
0.70500000,0.26200000
0.71000000,0.48000000
0.71500000,0.63300000
0.72000000,0.70700000
0.72500000,0.77700000
0.73000000,0.85100000
0.73500000,0.93400000
0.74000000,0.98000000
0.74500000,0.99300000
0.75000000,1.00000000
0.75500000,0.93600000
0.76000000,0.70900000
0.76500000,0.71600000
0.77000000,0.91700000
0.77500000,0.95900000
0.78000000,0.94500000
0.78500000,0.93400000
0.79000000,0.92700000
0.79500000,0.92300000
0.80000000,0.93100000
0.80500000,0.92900000
0.81000000,0.90200000
0.81500000,0.82600000
0.82000000,0.78400000
0.82500000,0.73300000
0.83000000,0.64300000
0.83500000,0.56500000
0.84000000,0.57600000
0.84500000,0.73400000
0.85000000,0.55400000
0.85500000,0.12300000
0.86000000,0.02800000
0.86500000,0.00900000
0.87000000,0.00400000
0.87500000,0.00200000
0.88000000,0.00000000
