wavelength,response
0.48000000,0.00000000
0.48500000,0.00200000
0.49000000,0.00800000
0.49500000,0.01200000
0.50000000,0.02100000
0.50500000,0.03400000
0.51000000,0.05100000
0.51500000,0.07000000
0.52000000,0.09700000
0.52500000,0.14100000
0.53000000,0.21800000
0.53500000,0.35400000
0.54000000,0.57200000
0.54500000,0.77200000
0.55000000,0.95100000
0.55500000,0.93200000
0.56000000,0.95300000
0.56500000,0.96200000
0.57000000,0.92600000
0.57500000,0.94300000
0.58000000,0.94700000
0.58500000,0.93700000
0.59000000,0.94600000
0.59500000,0.94700000
0.60000000,0.92700000
0.60500000,0.91900000
0.61000000,0.89800000
0.61500000,0.89500000
0.62000000,0.92600000
0.62500000,0.94500000
0.63000000,0.96600000
0.63500000,0.97400000
0.64000000,0.94700000
0.64500000,0.97000000
0.65000000,1.00000000
0.65500000,0.92800000
0.66000000,0.90700000
0.66500000,0.98600000
0.67000000,0.99000000
0.67500000,0.92300000
0.68000000,0.85800000
0.68500000,0.78200000
0.69000000,0.84900000
0.69500000,0.63100000
0.70000000,0.21000000
0.70500000,0.09300000
0.71000000,0.07100000
0.71500000,0.05200000
0.72000000,0.01700000
0.72500000,0.00600000
0.73000000,0.00000000
