wavelength,response
0.30000000,0.00000000
0.30500000,0.00300000
0.31000000,0.02300000
0.31500000,0.08600000
0.32000000,0.20400000
0.32500000,0.36600000
0.33000000,0.53700000
0.33500000,0.69500000
0.34000000,0.82600000
0.34500000,0.92300000
0.35000000,0.98500000
0.35500000,0.99200000
0.36000000,0.93700000
0.36500000,0.80500000
0.37000000,0.59500000
0.37500000,0.33200000
0.38000000,0.11300000
0.38500000,0.01500000
0.39000000,0.00000000
0.69500000,0.00000000
0.70000000,0.00200000
0.70500000,0.00500000
0.71000000,0.01000000
0.71500000,0.01400000
0.72000000,0.01400000
0.72500000,0.01100000
0.73000000,0.00800000
0.73500000,0.00600000
0.74000000,0.00200000
0.74500000,0.00000000
