wavelength,response
0.81000000,0.00000000
0.81500000,0.00800000
0.82000000,0.01900000
0.82500000,0.04600000
0.83000000,0.10200000
0.83500000,0.20300000
0.84000000,0.34700000
0.84500000,0.50200000
0.85000000,0.65300000
0.85500000,0.78200000
0.86000000,0.87600000
0.86500000,0.93500000
0.87000000,0.97900000
0.87500000,0.99500000
0.88000000,1.00000000
0.88500000,0.98200000
0.89000000,0.94600000
0.89500000,0.84500000
0.90000000,0.77300000
0.90500000,0.76400000
0.91000000,0.71900000
0.91500000,0.69900000
0.92000000,0.70800000
0.92500000,0.66100000
0.93000000,0.49300000
0.93500000,0.34800000
0.94000000,0.36100000
0.94500000,0.35000000
0.95000000,0.34100000
0.95500000,0.35000000
0.96000000,0.36800000
0.96500000,0.40700000
0.97000000,0.43200000
0.97500000,0.42400000
0.98000000,0.40200000
0.98500000,0.37800000
0.99000000,0.35500000
0.99500000,0.33400000
1.00000000,0.31200000
1.00500000,0.29100000
1.01000000,0.27000000
1.01500000,0.25000000
1.02000000,0.22500000
1.02500000,0.20300000
1.03000000,0.18100000
1.03500000,0.15900000
1.04000000,0.13400000
1.04500000,0.11200000
1.05000000,0.09100000
1.06000000,0.04800000
1.07000000,0.00000000
