wavelength,response
1.28900000,0.00000000
1.31500000,0.00000006
1.34100000,0.00000013
1.36800000,0.00000000
1.39700000,0.00000000
1.41800000,0.00001711
1.44000000,0.00051107
1.46200000,0.00276582
1.47800000,0.00808827
1.48600000,0.02873560
1.49300000,0.08711470
1.50400000,0.20144900
1.51500000,0.43815900
1.52800000,0.68635700
1.53900000,0.81807600
1.54600000,0.88207300
1.55100000,0.91182500
1.55600000,0.92687200
1.56500000,0.92928800
1.57200000,0.87274700
1.57700000,0.85661900
1.58300000,0.88255600
1.59200000,0.91808400
1.59700000,0.92665400
1.60200000,0.90759400
1.61300000,0.92597400
1.61900000,0.92049600
1.62800000,0.92419800
1.63300000,0.92353300
1.64200000,0.94178800
1.64800000,0.94913400
1.65700000,0.98065800
1.65900000,0.99374400
1.67100000,1.00000000
1.68400000,0.95605200
1.70100000,0.92411600
1.71500000,0.98212000
1.72700000,0.99158900
1.73900000,0.98868300
1.74600000,0.97916800
1.75100000,0.96818400
1.75300000,0.93704000
1.75600000,0.91899800
1.76400000,0.84226400
1.77500000,0.66711100
1.78500000,0.26940200
1.79000000,0.45163000
1.79600000,0.17306200
1.80300000,0.10772600
1.81000000,0.07070030
1.81300000,0.00510945
1.81800000,0.01997050
1.82800000,0.00039193
1.83500000,0.00000153
1.85000000,0.00005946
1.87100000,0.00000000
1.89300000,0.00003051
1.91400000,0.00000000
