wavelength,response
1.06200000,0.00000000
1.06600000,0.00040707
1.07000000,0.00154293
1.07500000,0.00267013
1.07800000,0.00550643
1.08200000,0.01225320
1.08400000,0.02029280
1.08700000,0.03064700
1.08900000,0.04051350
1.09300000,0.05153240
1.09600000,0.05635290
1.10200000,0.07180730
1.10500000,0.27360300
1.10700000,0.34099700
1.10900000,0.35844600
1.11200000,0.38013400
1.11600000,0.33066800
1.11700000,0.23954800
1.12000000,0.25006200
1.12300000,0.28330100
1.12800000,0.25823300
1.12900000,0.25147400
1.13200000,0.53811900
1.13400000,0.22316800
1.13800000,0.53689300
1.14000000,0.11020300
1.14300000,0.52920700
1.14700000,0.26194000
1.15400000,0.32015500
1.15900000,0.17430000
1.16400000,0.60703100
1.16700000,0.61793300
1.17000000,0.67628900
1.17300000,0.72794000
1.17500000,0.74653100
1.17900000,0.83040400
1.18200000,0.79030700
1.18600000,0.80960500
1.18800000,0.83688800
1.19200000,0.83598400
1.19500000,0.74993600
1.19900000,0.70801300
1.20200000,0.69875900
1.20900000,0.70485400
1.21600000,0.70038200
1.22100000,0.73276500
1.22700000,0.70572500
1.23100000,0.84243100
1.23600000,0.92187300
1.24000000,0.95250500
1.24400000,0.96758500
1.24700000,0.95950800
1.25300000,0.92269700
1.25500000,0.89297800
1.25800000,0.85294300
1.26000000,0.80230800
1.26500000,0.75007800
1.27000000,0.67807200
1.27500000,0.65241700
1.27900000,0.63875400
1.28600000,0.64241300
1.29200000,0.64856000
1.29700000,0.68238000
1.30200000,0.75290300
1.30500000,0.77594200
1.30700000,0.81182800
1.31000000,0.77700800
1.31300000,0.72103000
1.31600000,0.95245900
1.31900000,0.85513700
1.32300000,0.84140100
1.32600000,1.00000000
1.33000000,0.89473600
1.33300000,0.85491200
1.33400000,0.53789400
1.33600000,0.27986600
1.33900000,0.90653200
1.34300000,0.68934500
1.34600000,0.55332700
1.34900000,0.24317700
1.35300000,0.01437600
1.35500000,0.00018929
1.36000000,0.04007910
1.36300000,0.00453595
1.37000000,0.00031997
1.37300000,0.03721680
1.37700000,0.00053844
1.38300000,0.00000000
1.38800000,0.00014444
1.39200000,0.00329774
1.39500000,0.00031444
1.39600000,0.00847738
1.39700000,0.02537310
1.39800000,0.11844600
1.40000000,0.00013573
1.40100000,0.00006104
1.40200000,0.05213260
1.40400000,0.01037680
1.40600000,0.04780500
1.40700000,0.00041973
1.41000000,0.00236641
1.41200000,0.00526108
1.41600000,0.00864765
1.42100000,0.00072887
1.42600000,0.00034840
1.44200000,0.00037814
1.45000000,0.00000000
