wavelength,response
1.90000000,0.00000000
1.91500000,0.00000816
1.92700000,0.00001610
1.93400000,0.00015904
1.93900000,0.00049499
1.94800000,0.00537610
1.95700000,0.01186280
1.96200000,0.01970310
1.96900000,0.04217420
1.97600000,0.08730640
1.98100000,0.15275900
1.98900000,0.24817300
1.99000000,0.19024500
1.99800000,0.23388400
2.00800000,0.29455100
2.01400000,0.39821700
2.01900000,0.33660300
2.02800000,0.62074600
2.03700000,0.76498600
2.04500000,0.74641200
2.06100000,0.62506300
2.07200000,0.72549200
2.07500000,0.68946800
2.08200000,0.78790600
2.08900000,0.81813500
2.09900000,0.82283300
2.10600000,0.86329400
2.11300000,0.87782900
2.12000000,0.85489500
2.12400000,0.89532900
2.13800000,0.91886200
2.14500000,0.92676900
2.15500000,0.92665700
2.16900000,0.90094300
2.17600000,0.92281900
2.18500000,0.84275500
2.19700000,0.94585400
2.20800000,0.98036300
2.21300000,0.98792600
2.21800000,0.98478800
2.23200000,0.96465900
2.23700000,0.98163300
2.24800000,0.98344900
2.25600000,0.96131600
2.26000000,0.97922600
2.26300000,1.00000000
2.26500000,0.96316800
2.27000000,0.98119300
2.27200000,0.96806800
2.27600000,0.91089200
2.27700000,0.98213600
2.28100000,0.88960600
2.28400000,0.89176600
2.28600000,0.94238000
2.29100000,0.84042400
2.29300000,0.80423900
2.29500000,0.70767000
2.29700000,0.65761900
2.29900000,0.56073600
2.30600000,0.44365300
2.31100000,0.34823900
2.31600000,0.23022800
2.32000000,0.16259700
2.32500000,0.13596700
2.32800000,0.09210210
2.33500000,0.06239010
2.33900000,0.04309260
2.34400000,0.03398140
2.34600000,0.03095460
2.35200000,0.01181120
2.36100000,0.00683260
2.36300000,0.00074852
2.37000000,0.00299553
2.37500000,0.00209686
2.38400000,0.00040631
2.39900000,0.00000000
