wavelength,response
0.35114000,0.00000000
0.35274000,0.00500000
0.35433000,0.01000000
0.35593000,0.01800000
0.35753000,0.02900000
0.35913000,0.04400000
0.36073000,0.06100000
0.36233000,0.08000000
0.36393000,0.10200000
0.36553000,0.12500000
0.36713000,0.15000000
0.36872000,0.17800000
0.37032000,0.20600000
0.37192000,0.23700000
0.37352000,0.26900000
0.37512000,0.30200000
0.37672000,0.33600000
0.37832000,0.37200000
0.37992000,0.40900000
0.38152000,0.44600000
0.38311000,0.48400000
0.38471000,0.52100000
0.38631000,0.55700000
0.38791000,0.59300000
0.38951000,0.62800000
0.39111000,0.66100000
0.39271000,0.69100000
0.39431000,0.72000000
0.39591000,0.74600000
0.39750000,0.77000000
0.39910000,0.79100000
0.40070000,0.81000000
0.40230000,0.82700000
0.40390000,0.84100000
0.40550000,0.85300000
0.40710000,0.86400000
0.40870000,0.87300000
0.41030000,0.88200000
0.41189000,0.89000000
0.41349000,0.89700000
0.41509000,0.90400000
0.41669000,0.91200000
0.41829000,0.91900000
0.41989000,0.92700000
0.42149000,0.93500000
0.42309000,0.94400000
0.42468000,0.95200000
0.42628000,0.96100000
0.42788000,0.96900000
0.42948000,0.97600000
0.43108000,0.98300000
0.43268000,0.99000000
0.43428000,0.99500000
0.43588000,0.99900000
0.43748000,1.00000000
0.43907000,0.99500000
0.44067000,0.98600000
0.44227000,0.97000000
0.44387000,0.94500000
0.44547000,0.91100000
0.44707000,0.87200000
0.44867000,0.82500000
0.45027000,0.77300000
0.45187000,0.71700000
0.45346000,0.65800000
0.45506000,0.59800000
0.45666000,0.53800000
0.45826000,0.47900000
0.45986000,0.42300000
0.46146000,0.37000000
0.46306000,0.32200000
0.46466000,0.28000000
0.46626000,0.24300000
0.46785000,0.21100000
0.46945000,0.18400000
0.47105000,0.16200000
0.47265000,0.14300000
0.47425000,0.12700000
0.47585000,0.11500000
0.47745000,0.10500000
0.47905000,0.09600000
0.48065000,0.08900000
0.48224000,0.08200000
0.48384000,0.07600000
0.48544000,0.07000000
0.48704000,0.06300000
0.48864000,0.05700000
0.49024000,0.05000000
0.49184000,0.04400000
0.49344000,0.03700000
0.49504000,0.03100000
0.49663000,0.02500000
0.49823000,0.01900000
0.49983000,0.01400000
0.50143000,0.01000000
0.50303000,0.00600000
0.50463000,0.00300000
0.50623000,0.00200000
0.50783000,0.00100000
