wavelength,response
0.44947000,0.00000000
0.45180000,0.00900000
0.45414000,0.02500000
0.45648000,0.05100000
0.45882000,0.09300000
0.46115000,0.15000000
0.46349000,0.22200000
0.46583000,0.30600000
0.46816000,0.39700000
0.47050000,0.49000000
0.47284000,0.58000000
0.47518000,0.66100000
0.47751000,0.73100000
0.47985000,0.78800000
0.48219000,0.83500000
0.48453000,0.87200000
0.48686000,0.90000000
0.48920000,0.92300000
0.49154000,0.94100000
0.49388000,0.95600000
0.49621000,0.96900000
0.49855000,0.98000000
0.50089000,0.98800000
0.50323000,0.99400000
0.50556000,0.99800000
0.50790000,1.00000000
0.51024000,0.99900000
0.51258000,0.99700000
0.51491000,0.99200000
0.51725000,0.98600000
0.51959000,0.97700000
0.52193000,0.96800000
0.52426000,0.95600000
0.52660000,0.94400000
0.52894000,0.93100000
0.53127000,0.91700000
0.53361000,0.90200000
0.53595000,0.88800000
0.53829000,0.87200000
0.54062000,0.85600000
0.54296000,0.83900000
0.54530000,0.82200000
0.54764000,0.80400000
0.54997000,0.78600000
0.55231000,0.76700000
0.55465000,0.74800000
0.55699000,0.72900000
0.55932000,0.71000000
0.56166000,0.69000000
0.56400000,0.67000000
0.56634000,0.64900000
0.56867000,0.62700000
0.57101000,0.60600000
0.57335000,0.58400000
0.57569000,0.56300000
0.57802000,0.54100000
0.58036000,0.51900000
0.58270000,0.49700000
0.58504000,0.47600000
0.58737000,0.45400000
0.58971000,0.43200000
0.59205000,0.41000000
0.59439000,0.38800000
0.59672000,0.36700000
0.59906000,0.34700000
0.60140000,0.32800000
0.60373000,0.30800000
0.60607000,0.28900000
0.60841000,0.27100000
0.61075000,0.25400000
0.61308000,0.23900000
0.61542000,0.22400000
0.61776000,0.21000000
0.62010000,0.19600000
0.62243000,0.18400000
0.62477000,0.17100000
0.62711000,0.16000000
0.62945000,0.14900000
0.63178000,0.14000000
0.63412000,0.13100000
0.63646000,0.12200000
0.63880000,0.11500000
0.64113000,0.10700000
0.64347000,0.10000000
0.64581000,0.09300000
0.64815000,0.08600000
0.65048000,0.07900000
0.65282000,0.07300000
0.65516000,0.06600000
0.65750000,0.06100000
0.65983000,0.05600000
0.66217000,0.05000000
0.66451000,0.04400000
0.66684000,0.03700000
0.66918000,0.03100000
0.67152000,0.02400000
0.67386000,0.01800000
0.67619000,0.01200000
0.67853000,0.00600000
