teff,logg,feh,tv,mass,modelindex,fbol
2500,3,0,0,0,16,9.345962725433802
2500,3,0.25,0,0,17,9.345980048043716
2500,3,-0.25,0,0,18,9.345968675920272
2500,3,0.5,0,0,19,9.34600248796255
2500,3,-0.5,0,0,20,9.345974334848835
2500,3,0.75,0,0,21,9.346030999270766
2500,3,-0.75,0,0,22,9.34597411943734
2500,3,1,0,0,23,9.346056476900733
2500,3,-1,0,0,24,9.3459903994924
2500,3,-1.5,0,0,25,9.345835465482793
2500,3,-2,0,0,26,9.345698394062456
2500,3,-2.5,0,0,27,9.345886941422691
2500,3,-3,0,0,28,9.345888189026281
2500,3,0,1,0,45,9.346005313654674
2500,3,0.25,1,0,46,9.346014360230296
2500,3,-0.25,1,0,47,9.345996027239277
2500,3,0.5,1,0,48,9.346047046921514
2500,3,-0.5,1,0,49,9.346001886287143
2500,3,0.75,1,0,50,9.346083292009979
2500,3,1,1,0,51,9.346118285763387
2500,3,-2.5,1,0,52,9.345785637325346
2500,3,0,2,0,71,9.346082829889614
2500,3,0.25,2,0,72,9.34610768958844
2500,3,-0.25,2,0,73,9.346081198854371
2500,3,0.5,2,0,74,9.34614997887302
2500,3,-0.5,2,0,75,9.3460784667418
2500,3,0.75,2,0,76,9.346206397669732
2500,3,-0.75,2,0,77,9.346086428334855
2500,3,1,2,0,78,9.346259986999787
2500,3,-1,2,0,79,9.34609576919677
2500,3,-1.5,2,0,80,9.34591804276965
2500,3,-2,2,0,81,9.345874100696756
2500,3,-2.5,2,0,82,9.345704346856651
2500,3,-4,2,0,83,9.34575448749388
2500,3,0,5,0,84,9.346243506730145
2500,3.5,0,0,0,103,9.34601218093097
2500,3.5,0.25,0,0,104,9.345991513970285
2500,3.5,-0.25,0,0,105,9.346014248234107
2500,3.5,0.5,0,0,106,9.346000065422105
2500,3.5,-0.5,0,0,107,9.34606273872825
2500,3.5,0.75,0,0,108,9.346014394876306
2500,3.5,-0.75,0,0,109,9.346076504575858
2500,3.5,1,0,0,110,9.346034135043443
2500,3.5,-1,0,0,111,9.345936340541495
2500,3.5,-1.5,0,0,112,9.345876182729754
2500,3.5,-2,0,0,113,9.345669675651436
2500,3.5,-2.5,0,0,114,9.345960438454272
2500,3.5,0,1,0,135,9.346037401484299
2500,3.5,0.25,1,0,136,9.34602930324097
2500,3.5,-0.25,1,0,137,9.34606131751379
2500,3.5,0.5,1,0,138,9.346033388149857
2500,3.5,-0.5,1,0,139,9.346091790014844
2500,3.5,0.75,1,0,140,9.346055674434606
2500,3.5,-0.75,1,0,141,9.34605082216116
2500,3.5,1,1,0,142,9.346093132134097
2500,3.5,-1,1,0,143,9.345917893508162
2500,3.5,-1.5,1,0,144,9.345858477455637
2500,3.5,-2,1,0,145,9.345748043381306
2500,3.5,-2.5,1,0,146,9.34583512670004
2500,3.5,0,2,0,166,9.34612282085127
2500,3.5,0.25,2,0,167,9.346114176739317
2500,3.5,-0.25,2,0,168,9.346144000672412
2500,3.5,0.5,2,0,169,9.346128334681614
2500,3.5,-0.5,2,0,170,9.346175749631875
2500,3.5,0.75,2,0,171,9.3461628213761
2500,3.5,-0.75,2,0,172,9.346108537492515
2500,3.5,1,2,0,173,9.346214648310063
2500,3.5,-1,2,0,174,9.34596703288391
2500,3.5,-1.5,2,0,175,9.345973936540188
2500,3.5,-2.5,2,0,176,9.345716404956772
2500,3.5,0,5,0,177,9.346266188092693
2500,4,0,0,0,194,9.345920557791528
2500,4,0.25,0,0,195,9.34614661930865
2500,4,-0.25,0,0,196,9.345873463157906
2500,4,0.5,0,0,197,9.346024050908053
2500,4,-0.5,0,0,198,9.345905053206277
2500,4,0.75,0,0,199,9.34602571062393
2500,4,-0.75,0,0,200,9.345920324784386
2500,4,1,0,0,201,9.346028355231836
2500,4,-1,0,0,202,9.34590595394952
2500,4,-1.5,0,0,203,9.345824663211745
2500,4,-2,0,0,204,9.345600925234542
2500,4,-2.5,0,0,205,9.345865456414272
2500,4,0,1,0,222,9.345904069384904
2500,4,0.25,1,0,223,9.34616919453993
2500,4,-0.25,1,0,224,9.34591397793054
2500,4,0.5,1,0,225,9.346073538893268
