band,lambda,bandwidth,fnu0,m0,Alambda_Over_Av,device,magsystem
panstarrsps1g,0.481414,0.105308,3631.000000,0.000000,1.179214,energy,AB
panstarrsps1r,0.617431,0.125241,3631.000000,0.000000,0.878386,energy,AB
panstarrsps1i,0.751576,0.120663,3631.000000,0.000000,0.670020,energy,AB
panstarrsps1z,0.866359,0.099771,3631.000000,0.000000,0.512016,energy,AB
panstarrsps1y,0.961685,0.063899,3631.000000,0.000000,0.430228,energy,AB
skymapperu,0.351664,0.041886,3631.000000,0.000000,1.587534,photon,AB
skymapperv,0.383593,0.031906,3631.000000,0.000000,1.511979,photon,AB
skymapperg,0.507519,0.145060,3631.000000,0.000000,1.100987,photon,AB
skymapperr,0.613844,0.141405,3631.000000,0.000000,0.884125,photon,AB
skymapperi,0.776798,0.124620,3631.000000,0.000000,0.631599,photon,AB
skymapperz,0.914599,0.115857,3631.000000,0.000000,0.466444,photon,AB
hipparcos2hp,0.558600,0.256900,4086.208562,0.000000,0.981329,energy,Vega
tycho2bt,0.422000,0.145500,4038.075490,0.000000,1.390150,energy,Vega
tycho2vt,0.535000,0.166500,3846.566127,0.000000,1.031706,energy,Vega
apassb,0.441200,0.181600,4193.770530,0.000000,1.320111,energy,Vega
apassv,0.552900,0.112900,3808.484194,0.000000,0.992843,energy,Vega
apassg,0.470250,0.115840,3631.000000,-0.010000,1.216300,photon,AB
apassr,0.617558,0.111120,3631.000000,0.003000,0.878183,photon,AB
apassi,0.748998,0.104460,3631.000000,-0.006000,0.673998,photon,AB
sdssu,0.355652,0.055840,3631.000000,0.037000,1.578084,photon,AB
sdssg,0.470250,0.115840,3631.000000,-0.010000,1.216300,photon,AB
sdssr,0.617558,0.111120,3631.000000,0.003000,0.878183,photon,AB
sdssi,0.748998,0.104460,3631.000000,-0.006000,0.673998,photon,AB
sdssz,0.894671,0.112460,3631.000000,-0.016000,0.483510,photon,AB
gaiag,0.621760,0.405297,3269.922288,0.000000,0.871507,photon,Vega
gaiabp,0.510970,0.215750,3578.927530,0.000000,1.091574,photon,Vega
gaiarp,0.776910,0.292444,2614.427717,0.000000,0.631431,photon,Vega
twomassj,1.235000,0.162410,1594.000000,-0.018000,0.287606,energy,Vega
twomassh,1.662000,0.250940,1024.000000,0.035000,0.178306,energy,Vega
twomassk,2.159000,0.261890,666.700000,-0.014000,0.117013,energy,Vega
wisew1,3.352600,0.662640,309.540000,0.000000,0.057613,energy,Vega
wisew2,4.602800,1.042270,171.787000,0.000000,0.034587,energy,Vega
wisew3,11.560800,5.505570,31.674000,0.000000,0.007852,energy,Vega
wisew4,22.088300,4.101680,8.363000,0.000000,0.002769,energy,Vega
