starID,modelteff,modeltefferr,modellogg,modelloggerr,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,angRad,angRaderr,radius,radiuserr,lumi,lumierr,Fbol,Fbolerr,lumibol,lumibolerr,angRadbol,angRadbolerr,radiusbol,radiusbolerr,Redchi,npoint,JumpBy
2051837651199491968,5553.320,76.498,4.000,0.000,5543.000,79.000,4.081,0.014,0.440,0.100,668.83600,113.53930,0.17864,0.06561,-20.24460,0.00446,0.01556,0.00008,2.23869,0.38021,0.62966,0.14958,3.07022e-10,1.35880e-11,0.63035,0.14870,0.01562,0.00056,2.24690,0.38995,0.91,17,DiffMet
2053106620753316352,5066.940,73.731,3.500,0.000,5055.000,75.000,3.443,0.014,-0.070,0.100,786.65730,5.92930,0.18740,0.07032,-19.98140,0.00557,0.02107,0.00014,3.56500,0.03528,0.87370,0.02717,3.90005e-10,1.74423e-11,0.87518,0.02050,0.02117,0.00079,3.58135,0.13578,1.08,8,DiffMet
2076525844775760384,5849.380,73.969,3.751,0.011,5844.000,75.000,3.813,0.065,0.210,0.100,105.90070,2.69290,0.04257,0.05692,-18.57360,0.00391,0.10657,0.00048,2.42702,0.06268,0.79168,0.03163,1.77133e-08,7.31696e-10,0.79064,0.02845,0.10675,0.00352,2.43106,0.10117,1.77,13,DiffMet
2086625752425381632,5850.930,69.574,4.250,0.000,5847.000,69.500,4.191,0.019,0.270,0.100,515.66610,2.60900,0.10100,0.04985,-20.40420,0.00431,0.01295,0.00006,1.43629,0.01018,0.33691,0.02155,2.61921e-10,9.80059e-12,0.33545,0.01683,0.01297,0.00039,1.43799,0.04411,1.00,16,DiffMet
2106705269988803072,5702.810,73.390,4.250,0.002,5699.000,74.000,4.162,0.032,0.300,0.100,450.61260,2.17490,0.10388,0.05744,-20.29330,0.00483,0.01472,0.00008,1.42603,0.01051,0.28614,0.02345,3.05288e-10,1.25056e-11,0.28486,0.01828,0.01474,0.00049,1.42800,0.04773,0.86,12,DiffMet
2125795166969907968,5905.000,74.748,3.750,0.001,5896.000,75.000,3.757,0.065,-0.070,0.100,424.52360,1.58840,0.08872,0.05420,-19.73140,0.00440,0.02810,0.00014,2.56552,0.01615,0.85528,0.02276,1.27900e-09,5.21999e-11,0.85521,0.01802,0.02818,0.00092,2.57270,0.08446,1.61,14,DiffMet
2135179533070399232,6033.490,100.144,4.250,0.000,6004.000,102.000,4.303,0.016,-0.380,0.100,336.77940,1.06500,-0.00017,0.06673,-20.20400,0.00535,0.01631,0.00010,1.18119,0.00818,0.21310,0.03012,4.69872e-10,2.52362e-11,0.21921,0.02349,0.01647,0.00071,1.19295,0.05180,2.67,7,DiffMet
2329865040473724160,4630.840,73.850,2.744,0.039,4634.000,80.000,2.665,0.054,0.040,0.080,104.77130,0.24320,0.02187,0.10384,-17.45170,0.00344,0.38777,0.00153,8.73708,0.04008,1.50125,0.03025,9.20471e-08,5.16788e-09,1.49704,0.02447,0.38700,0.01722,8.71974,0.38855,0.43,8,DiffMet
4675576135153914368,4802.150,75.987,3.250,0.000,4828.000,80.000,3.181,0.021,0.110,0.080,44.03420,0.07050,0.22706,0.08784,-17.17350,0.00524,0.53416,0.00322,5.05841,0.03157,1.09779,0.02929,2.02241e-07,1.01958e-08,1.08599,0.02194,0.52847,0.02200,5.00448,0.20853,0.38,8,DiffMet
4759263813434301824,5111.640,76.598,3.182,0.111,5132.000,80.000,3.135,0.124,-0.170,0.080,100.03770,0.14940,0.01838,0.07805,-17.61790,0.00475,0.32024,0.00175,6.88950,0.03902,1.47222,0.02752,9.32417e-08,4.55181e-09,1.46248,0.02124,0.31758,0.01257,6.83225,0.27072,1.15,8,DiffMet
