starID,modelteff,modeltefferr,modellogg,modelloggerr,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,Fbol,Fbolerr,angRad,angRaderr,lumi,lumierr,lumibol,lumibolerr,radius,radiuserr,angRadbol,angRadbolerr,radiusbol,radiusbolerr
2051837651199491968,5553.280,76.282,4.000,0.000,5543.000,79.000,4.081,0.014,0.440,0.100,668.83600,113.53930,0.17868,0.06540,-20.24460,0.00444,3.07008e-10,1.35464e-11,0.01556,0.00008,0.62966,0.14958,0.63033,0.14869,2.23869,0.38020,0.01562,0.00056,2.24684,0.38992
2053106620753316352,5066.990,73.448,3.500,0.000,5055.000,75.000,3.443,0.014,-0.070,0.100,786.65730,5.92930,0.18744,0.07004,-19.98140,0.00555,3.90032e-10,1.73700e-11,0.02107,0.00013,0.87370,0.02717,0.87521,0.02042,3.56500,0.03522,0.02117,0.00079,3.58147,0.13558
2076525844775760384,5848.930,74.250,3.751,0.011,5844.000,75.000,3.813,0.065,0.210,0.100,105.90070,2.69290,0.04228,0.05721,-18.57350,0.00393,1.77092e-08,7.35071e-10,0.10658,0.00048,0.79178,0.03163,0.79054,0.02851,2.42730,0.06269,0.10673,0.00352,2.43078,0.10128
2086625752425381632,5851.180,69.517,4.250,0.000,5847.000,69.500,4.191,0.019,0.270,0.100,515.66610,2.60900,0.10119,0.04981,-20.40420,0.00430,2.61951e-10,9.79105e-12,0.01295,0.00006,0.33691,0.02155,0.33550,0.01682,1.43629,0.01017,0.01297,0.00039,1.43807,0.04409
2106705269988803072,5703.020,73.845,4.250,0.002,5699.000,74.000,4.162,0.032,0.300,0.100,450.61260,2.17490,0.10402,0.05780,-20.29330,0.00486,3.05309e-10,1.25720e-11,0.01472,0.00008,0.28614,0.02345,0.28489,0.01837,1.42603,0.01054,0.01474,0.00049,1.42805,0.04783
2125795166969907968,5904.620,74.337,3.750,0.001,5896.000,75.000,3.757,0.065,-0.070,0.100,424.52360,1.58840,0.08844,0.05398,-19.73140,0.00437,1.27876e-09,5.18608e-11,0.02810,0.00014,0.85528,0.02276,0.85513,0.01791,2.56552,0.01609,0.02818,0.00092,2.57247,0.08424
2135179533070399232,6033.060,99.811,4.250,0.000,6004.000,102.000,4.303,0.016,-0.380,0.100,336.77940,1.06500,-0.00047,0.06653,-20.20400,0.00534,4.69743e-10,2.51525e-11,0.01631,0.00010,0.21310,0.03012,0.21909,0.02342,1.18119,0.00816,0.01647,0.00071,1.19279,0.05173
2329865040473724160,4630.850,74.233,2.744,0.039,4634.000,80.000,2.665,0.054,0.040,0.080,104.77130,0.24320,0.02196,0.10435,-17.45170,0.00346,9.20534e-08,5.19756e-09,0.38777,0.00154,1.50125,0.03026,1.49707,0.02460,8.73708,0.04025,0.38701,0.01726,8.72004,0.38944
4675576135153914368,4802.390,76.032,3.250,0.000,4828.000,80.000,3.181,0.021,0.110,0.080,44.03420,0.07050,0.22736,0.08779,-17.17350,0.00524,2.02279e-07,1.01925e-08,0.53416,0.00322,1.09779,0.02929,1.08607,0.02193,5.05841,0.03156,0.52852,0.02200,5.00494,0.20851
4759263813434301824,5111.380,76.854,3.182,0.111,5132.000,80.000,3.135,0.124,-0.170,0.080,100.03770,0.14940,0.01812,0.07826,-17.61790,0.00476,9.32352e-08,4.56491e-09,0.32024,0.00176,1.47222,0.02753,1.46245,0.02130,6.88950,0.03914,0.31757,0.01259,6.83201,0.27101
4921421918602162688,4693.320,78.431,2.750,0.000,4700.000,80.000,2.762,0.039,-0.410,0.080,72.08660,0.09480,0.11960,0.10169,-17.25340,0.00569,1.53490e-07,8.37802e-09,0.48722,0.00319,1.39934,0.03013,1.39433,0.02373,7.55316,0.05044,0.48581,0.02120,7.53125,0.32875
4972969119657226368,4616.840,78.441,2.750,0.000,4630.000,80.000,2.768,0.027,0.030,0.080,90.01890,0.17330,0.09040,0.10598,-17.48090,0.00490,8.50707e-08,4.81346e-09,0.37495,0.00212,1.33873,0.03046,1.33099,0.02463,7.25868,0.04327,0.37269,0.01664,7.21489,0.32252
5062172841616745856,5841.460,58.125,4.251,0.012,5841.000,17.000,4.315,0.100,0.130,0.060,25.44400,0.01960,0.08394,0.04623,-17.67070,0.00241,1.40867e-07,4.78666e-09,0.30135,0.00084,0.45506,0.00564,0.45252,0.01477,1.64896,0.00476,0.30134,0.00541,1.64886,0.02964
5224124307320401024,4656.730,52.428,2.750,0.001,4664.000,53.000,2.710,0.040,-0.190,0.060,183.06070,0.66330,0.14885,0.06798,-17.93740,0.00441,3.07730e-08,1.08598e-09,0.22168,0.00112,1.51147,0.02047,1.50590,0.01565,8.72708,0.05441,0.22090,0.00636,8.69623,0.25219
6357337753190592000,4806.470,74.155,2.750,0.001,4824.000,80.000,2.761,0.058,-0.100,0.080,89.48320,0.13850,0.13730,0.08834,-17.34800,0.00412,1.35800e-07,6.97724e-09,0.43694,0.00207,1.53775,0.02913,1.52892,0.02235,8.40844,0.04191,0.43377,0.01820,8.34728,0.35043
6386468454774591744,4769.090,90.876,3.250,0.009,4806.000,100.000,3.310,0.150,0.050,0.100,91.60670,0.13150,0.07578,0.10714,-17.89330,0.00736,3.75154e-08,2.20941e-09,0.23323,0.00198,1.00633,0.03691,0.99061,0.02561,4.59464,0.03950,0.22970,0.01171,4.52515,0.23078
