starID,band,flux_obs,flux_pred
2051837651199491968,sdssu|sdssg|panstarrsps1g|gaiabp|panstarrsps1r|gaiag|sdssi|panstarrsps1i|gaiarp|panstarrsps1z|sdssz|panstarrsps1y|twomassj|twomassh|twomassk|wisew1|wisew2,-13.853215|-13.404911|-13.422523|-13.428993|-13.464966|-13.503933|-13.534235|-13.568154|-13.573787|-13.661732|-13.657888|-13.739574|-13.94187|-14.281669|-14.643916|-15.349366|-15.909992,-13.885251|-13.415453|-13.406125|-13.43057|-13.42586|-13.4933|-13.539565|-13.541906|-13.572097|-13.65265|-13.679221|-13.738398|-13.958509|-14.254604|-14.653521|-15.36409|-15.907143
2053106620753316352,gaiabp|gaiag|gaiarp|twomassj|twomassh|twomassk|wisew1|wisew2,-13.407648|-13.435785|-13.480585|-13.801|-14.074084|-14.439499|-15.13735|-15.695822,-13.404299|-13.437234|-13.485619|-13.80816|-14.048575|-14.44363|-15.150279|-15.694005
2076525844775760384,tycho2bt|gaiabp|tycho2vt|apassv|apassr|gaiag|apassi|gaiarp|twomassj|twomassh|twomassk|wisew1|wisew2,-11.697511|-11.661385|-11.617193|-11.631011|-11.696067|-11.742832|-11.78456|-11.837213|-12.222487|-12.595747|-12.960359|-13.666104|-14.199156,-11.693101|-11.657479|-11.627735|-11.637654|-11.678344|-11.73993|-11.804435|-11.838447|-12.247106|-12.555385|-12.960944|-13.67346|-14.210731
2086625752425381632,apassb|apassg|gaiabp|apassv|apassr|gaiag|apassi|panstarrsps1i|gaiarp|panstarrsps1z|panstarrsps1y|twomassj|twomassh|twomassk|wisew1|wisew2,-13.505592|-13.458275|-13.490032|-13.47109|-13.511662|-13.567356|-13.610953|-13.671969|-13.660212|-13.766232|-13.829834|-14.050042|-14.411481|-14.784693|-15.493705|-16.049796,-13.486743|-13.453325|-13.485544|-13.465719|-13.506409|-13.567995|-13.6325|-13.635022|-13.666512|-13.752693|-13.84066|-14.075171|-14.38345|-14.789009|-15.501525|-16.038796
2106705269988803072,apassg|gaiabp|apassv|apassr|gaiag|apassi|gaiarp|twomassj|twomassh|twomassk|wisew1|wisew2,-13.386911|-13.384891|-13.363485|-13.416686|-13.46497|-13.523008|-13.561105|-13.964261|-14.304508|-14.675825|-15.392726|-15.949448,-13.351829|-13.384047|-13.364222|-13.404912|-13.466498|-13.531003|-13.565016|-13.973675|-14.281953|-14.687512|-15.400028|-15.937299
2125795166969907968,tycho2bt|apassb|gaiabp|tycho2vt|apassv|apassr|gaiag|apassi|gaiarp|twomassj|twomassh|twomassk|wisew1|wisew2,-12.762319|-12.680304|-12.738716|-12.734853|-12.714877|-12.778109|-12.838057|-12.915606|-12.951197|-13.355948|-13.734207|-14.109773|-14.816505|-15.358915,-12.725037|-12.705534|-12.737339|-12.714872|-12.728377|-12.783685|-12.837495|-12.919612|-12.954789|-13.382432|-13.701892|-14.112443|-14.825782|-15.357444
2135179533070399232,tycho2bt|gaiabp|gaiag|gaiarp|twomassj|twomassh|twomassk,-13.209334|-13.216453|-13.31511|-13.4288|-13.825492|-14.200869|-14.577393,-13.190909|-13.213837|-13.315016|-13.432099|-13.855877|-14.167902|-14.581464
2329865040473724160,skymapperv|tycho2bt|gaiabp|tycho2vt|hipparcos2hp|gaiag|gaiarp|twomassk,-11.567166|-11.234702|-11.018896|-10.983975|-11.016483|-11.032215|-11.062666|-11.962283,-11.568097|-11.222833|-11.02498|-10.98415|-11.016267|-11.035667|-11.064655|-11.956056
4675576135153914368,tycho2bt|apassb|gaiabp|tycho2vt|hipparcos2hp|gaiag|apassi|gaiarp,-10.947098|-10.863556|-10.743917|-10.705502|-10.741945|-10.760877|-10.746909|-10.794461,-10.939232|-10.861812|-10.749306|-10.710668|-10.740948|-10.760394|-10.763878|-10.78949
4759263813434301824,tycho2bt|gaiabp|tycho2vt|hipparcos2hp|gaiag|gaiarp|twomassj|twomassk,-11.043419|-10.937327|-10.902977|-10.942408|-10.990915|-11.055941|-11.448157|-12.072832,-11.031585|-10.941693|-10.907298|-10.941295|-10.993898|-11.060257|-11.412837|-12.077161
